onset	duration	weight	object	emotion
86.013	2	1	abacus	aversive
261.007	2	1	babyplayard	neutral
434.011	2	1	banana	aversive
184.013	2	1	bed	neutral
124.013	2	1	bench	neutral
211.004	2	1	bike	aversive
377.012	2	1	binoculars	aversive
145.002	2	1	boppypillow	aversive
154.004	2	1	bowl	neutral
174.016	2	1	bowlingpin	aversive
442.002	2	1	bowtie	neutral
75.004	2	1	bucket	neutral
105.013	2	1	butterfly	neutral
282.013	2	1	button	aversive
492.005	2	1	ceilingfan	neutral
671.011	2	1	cherry	aversive
194.01	2	1	clownfish	neutral
629.016	2	1	coconut	neutral
608.01	2	1	compass	neutral
471.016	2	1	computermouse	aversive
687.01	2	1	cookingpan	neutral
298.012	2	1	cookpot	aversive
452.016	2	1	crab	aversive
366.003	2	1	crown	neutral
513.011	2	1	cupsaucer	neutral
334.005	2	1	dolphin	aversive
94.004	2	1	dragonfly	neutral
290.004	2	1	durian	aversive
661.014	2	1	fan	neutral
35.015	2	1	flashlight	aversive
502.002	2	1	fork	neutral
537.001	2	1	gecko	aversive
326.014	2	1	glasses	aversive
385.003	2	1	glove	neutral
679.002	2	1	grape	aversive
233.004	2	1	guitar	aversive
47.002	2	1	hairbrush	neutral
66.002	2	1	hairdryer	neutral
708.016	2	1	handmirror	aversive
462.013	2	1	hat	aversive
549.005	2	1	headband	neutral
23.012	2	1	hourglass	aversive
404.003	2	1	icecreamcones	neutral
653.006	2	1	kettle	neutral
395.017	2	1	kiwifruit	aversive
253.016	2	1	lamp	neutral
244.013	2	1	lemon	aversive
165.013	2	1	lightbulb	neutral
223.007	2	1	lock	aversive
135.005	2	1	loster	neutral
558.007	2	1	motorcycle	aversive
345.014	2	1	nailpolish	neutral
696.013	2	1	necktie	neutral
317.011	2	1	orifan	aversive
600.002	2	1	paintbrush	neutral
203.013	2	1	pen	aversive
481.013	2	1	pipe	aversive
423.002	2	1	printer	aversive
11.009	2	1	rollingpin	aversive
641.003	2	1	rubberduck	neutral
273.01	2	1	scale	neutral
412.01	2	1	shirt	neutral
570.01	2	1	shoe	aversive
56.005	2	1	sofa	aversive
525.014	2	1	stapler	neutral
580.008	2	1	starfish	aversive
308.009	2	1	strawberry	aversive
592.011	2	1	tent	aversive
355.011	2	1	tire	neutral
114.015	2	1	washer	neutral
0	2	1	watergun	aversive
618.007	2	1	watermelon	neutral
