onset	duration	weight	object	emotion
652.99	2	1	abacus	aversive
309.999	2	1	babyplayard	neutral
83.974	2	1	banana	aversive
355.989	2	1	bed	neutral
628.983	2	1	bench	neutral
473.984	2	1	bike	aversive
383.992	2	1	binoculars	aversive
288.976	2	1	boppypillow	aversive
691.984	2	1	bowl	neutral
258.984	2	1	bowlingpin	aversive
671.973	2	1	bowtie	neutral
91.982	2	1	bucket	neutral
241.991	2	1	butterfly	neutral
436.996	2	1	button	aversive
250.977	2	1	ceilingfan	neutral
564.971	2	1	cherry	aversive
62.023	2	1	clownfish	neutral
347.086	2	1	coconut	neutral
403.986	2	1	compass	neutral
584.982	2	1	computermouse	aversive
413.984	2	1	cookingpan	neutral
544.976	2	1	cookpot	aversive
336.99	2	1	crab	aversive
596.985	2	1	crown	neutral
456.99	2	1	cupsaucer	neutral
164.98	2	1	dolphin	aversive
575.979	2	1	dragonfly	neutral
327.971	2	1	durian	aversive
518.416	2	1	fan	neutral
176.005	2	1	flashlight	aversive
700.987	2	1	fork	neutral
183.98	2	1	gecko	aversive
232.972	2	1	glasses	aversive
214.983	2	1	glove	neutral
40.006	2	1	grape	aversive
449.43	2	1	guitar	aversive
143.974	2	1	hairbrush	neutral
99.99	2	1	hairdryer	neutral
298.973	2	1	handmirror	aversive
73.977	2	1	hat	aversive
709.989	2	1	headband	neutral
525.976	2	1	hourglass	aversive
465.976	2	1	icecreamcones	neutral
51.976	2	1	kettle	neutral
483.981	2	1	kiwifruit	aversive
19.978	2	1	lamp	neutral
8.986	2	1	lemon	aversive
507.424	2	1	lightbulb	neutral
616.98	2	1	lock	aversive
494.99	2	1	loster	neutral
607.447	2	1	motorcycle	aversive
533.984	2	1	nailpolish	neutral
682.418	2	1	necktie	neutral
556.979	2	1	orifan	aversive
317.99	2	1	paintbrush	neutral
0	2	1	pen	aversive
30.987	2	1	pipe	aversive
267.092	2	1	printer	aversive
202.98	2	1	rollingpin	aversive
194.989	2	1	rubberduck	neutral
640.986	2	1	scale	neutral
392.994	2	1	shirt	neutral
662.987	2	1	shoe	aversive
132.999	2	1	sofa	aversive
110.965	2	1	stapler	neutral
364.014	2	1	starfish	aversive
372.983	2	1	strawberry	aversive
424.976	2	1	tent	aversive
153.027	2	1	tire	neutral
278.996	2	1	washer	neutral
120.979	2	1	watergun	aversive
222.991	2	1	watermelon	neutral
