onset	duration	weight	object	emotion
41	2	1	abacus	neutral
396.011	2	1	babyplayard	neutral
413.005	2	1	banana	aversive
616.001	2	1	bed	aversive
677.012	2	1	bench	neutral
0	2	1	bike	aversive
624.008	2	1	binoculars	aversive
132.998	2	1	boppypillow	aversive
666.998	2	1	bowl	neutral
157.005	2	1	bowlingpin	aversive
499.001	2	1	bowtie	neutral
9.997	2	1	bucket	aversive
377.011	2	1	butterfly	neutral
337.005	2	1	button	neutral
221.001	2	1	ceilingfan	aversive
178.011	2	1	cherry	neutral
549.999	2	1	clownfish	aversive
110.003	2	1	coconut	aversive
635	2	1	compass	neutral
579.012	2	1	computermouse	aversive
52.009	2	1	cookingpan	aversive
308.008	2	1	cookpot	neutral
63.001	2	1	crab	aversive
197.01	2	1	crown	neutral
461.996	2	1	cupsaucer	aversive
122.006	2	1	dolphin	aversive
710.999	2	1	dragonfly	neutral
532.01	2	1	durian	neutral
325.002	2	1	fan	aversive
186.997	2	1	flashlight	neutral
99.011	2	1	fork	aversive
423.997	2	1	gecko	neutral
88.997	2	1	glasses	neutral
470.004	2	1	glove	aversive
248.008	2	1	grape	aversive
511.004	2	1	guitar	neutral
167.002	2	1	hairbrush	aversive
404.997	2	1	hairdryer	neutral
599.007	2	1	handmirror	aversive
540.001	2	1	hat	aversive
480.001	2	1	headband	neutral
208.997	2	1	hourglass	neutral
489.998	2	1	icecreamcones	aversive
71.008	2	1	kettle	aversive
270.009	2	1	kiwifruit	neutral
385.997	2	1	lamp	neutral
240	2	1	lemon	neutral
644.003	2	1	lightbulb	neutral
606.998	2	1	lock	aversive
347.997	2	1	loster	aversive
259	2	1	motorcycle	aversive
79	2	1	nailpolish	aversive
656.006	2	1	necktie	aversive
443.013	2	1	orifan	aversive
229.008	2	1	paintbrush	aversive
145.001	2	1	pen	aversive
432.004	2	1	pipe	aversive
589.01	2	1	printer	neutral
281.001	2	1	rollingpin	neutral
687.009	2	1	rubberduck	neutral
31.003	2	1	scale	aversive
22.017	2	1	shirt	neutral
451.999	2	1	shoe	neutral
317.011	2	1	sofa	neutral
698.996	2	1	stapler	neutral
356.005	2	1	starfish	aversive
570.01	2	1	strawberry	neutral
300.001	2	1	tent	neutral
558.006	2	1	tire	aversive
520.007	2	1	washer	neutral
290.003	2	1	watergun	neutral
365.008	2	1	watermelon	neutral
