onset	duration	weight	object	emotion
199	2	1	abacus	neutral
28.002	2	1	babyplayard	neutral
531.994	2	1	banana	aversive
403.007	2	1	bed	aversive
334.005	2	1	bench	aversive
8.008	2	1	bike	neutral
444.008	2	1	binoculars	aversive
60	2	1	boppypillow	neutral
249.998	2	1	bowl	neutral
423.002	2	1	bowlingpin	neutral
341.996	2	1	bowtie	neutral
170.998	2	1	bucket	aversive
711	2	1	butterfly	neutral
228.992	2	1	button	aversive
98.994	2	1	ceilingfan	neutral
150.009	2	1	cherry	aversive
572.994	2	1	clownfish	neutral
312.004	2	1	coconut	aversive
610.994	2	1	compass	aversive
271.998	2	1	computermouse	neutral
210.009	2	1	cookingpan	neutral
499.996	2	1	cookpot	neutral
322.996	2	1	crab	neutral
692	2	1	crown	aversive
363.002	2	1	cupsaucer	neutral
239.006	2	1	dolphin	aversive
353.999	2	1	dragonfly	neutral
591.994	2	1	durian	neutral
682.997	2	1	fan	aversive
119.005	2	1	flashlight	neutral
654	2	1	fork	aversive
280.006	2	1	gecko	neutral
391.999	2	1	glasses	aversive
372.004	2	1	glove	aversive
179.006	2	1	grape	aversive
129.003	2	1	guitar	aversive
452.994	2	1	hairbrush	aversive
631.005	2	1	hairdryer	aversive
109.008	2	1	handmirror	aversive
490.993	2	1	hat	aversive
643.008	2	1	headband	aversive
91.003	2	1	hourglass	neutral
621.008	2	1	icecreamcones	aversive
553.994	2	1	kettle	neutral
81.006	2	1	kiwifruit	neutral
435.005	2	1	lamp	neutral
664.992	2	1	lemon	aversive
218.995	2	1	lightbulb	aversive
300.001	2	1	lock	neutral
483.002	2	1	loster	neutral
600.997	2	1	motorcycle	neutral
521.002	2	1	nailpolish	aversive
474.994	2	1	necktie	aversive
290.003	2	1	orifan	neutral
673.995	2	1	paintbrush	aversive
19.994	2	1	pen	neutral
382.002	2	1	pipe	neutral
47.997	2	1	printer	neutral
542.008	2	1	rollingpin	aversive
261.006	2	1	rubberduck	aversive
0	2	1	scale	aversive
508.998	2	1	shirt	aversive
581.002	2	1	shoe	neutral
190.992	2	1	sofa	neutral
72.003	2	1	stapler	aversive
158.995	2	1	starfish	neutral
700.008	2	1	strawberry	aversive
562.002	2	1	tent	neutral
463.008	2	1	tire	aversive
35.993	2	1	washer	aversive
139.995	2	1	watergun	neutral
410.999	2	1	watermelon	neutral
