onset	duration	weight	object	emotion
43.007	2	1	abacus	neutral
415.011	2	1	babyplayard	aversive
81.006	2	1	banana	neutral
670	2	1	bed	aversive
621.008	2	1	bench	neutral
112.009	2	1	bike	neutral
488.009	2	1	binoculars	aversive
325.002	2	1	boppypillow	aversive
700.008	2	1	bowl	aversive
101.001	2	1	bowlingpin	neutral
366.003	2	1	bowtie	neutral
224.997	2	1	bucket	aversive
21.006	2	1	butterfly	aversive
196	2	1	button	neutral
602.008	2	1	ceilingfan	aversive
394.005	2	1	cherry	aversive
233.004	2	1	clownfish	neutral
53.004	2	1	coconut	neutral
154.004	2	1	compass	aversive
186.997	2	1	computermouse	aversive
454.005	2	1	cookingpan	aversive
660.997	2	1	cookpot	neutral
476.006	2	1	crab	aversive
217.005	2	1	crown	neutral
466.009	2	1	cupsaucer	aversive
357	2	1	dolphin	aversive
640.008	2	1	dragonfly	aversive
336.011	2	1	durian	neutral
515.995	2	1	fan	neutral
423.997	2	1	flashlight	neutral
262.996	2	1	fork	aversive
558.007	2	1	gecko	neutral
60.995	2	1	glasses	neutral
385.997	2	1	glove	neutral
293.999	2	1	grape	aversive
584.998	2	1	guitar	neutral
347.003	2	1	hairbrush	neutral
712.011	2	1	hairdryer	aversive
376	2	1	handmirror	aversive
536.006	2	1	hat	neutral
575.995	2	1	headband	neutral
88.997	2	1	hourglass	neutral
690.011	2	1	icecreamcones	aversive
505.003	2	1	kettle	neutral
609.999	2	1	kiwifruit	neutral
143.012	2	1	lamp	aversive
0	2	1	lemon	aversive
132.999	2	1	lightbulb	aversive
565.998	2	1	lock	aversive
242.007	2	1	loster	neutral
594	2	1	motorcycle	neutral
546.998	2	1	nailpolish	aversive
275	2	1	necktie	aversive
284.997	2	1	orifan	neutral
9.997	2	1	paintbrush	neutral
444.008	2	1	pen	neutral
33.009	2	1	pipe	aversive
69.003	2	1	printer	neutral
205.002	2	1	rollingpin	neutral
433	2	1	rubberduck	neutral
650.005	2	1	scale	aversive
178.011	2	1	shirt	aversive
315.005	2	1	shoe	neutral
305.008	2	1	sofa	neutral
682.003	2	1	stapler	aversive
404.997	2	1	starfish	neutral
632	2	1	strawberry	aversive
166.008	2	1	tent	aversive
524.003	2	1	tire	aversive
251.009	2	1	washer	neutral
123.996	2	1	watergun	aversive
496.001	2	1	watermelon	aversive
