onset	duration	weight	object	emotion
411.994	2	1	abacus	neutral
236.006	2	1	babyplayard	aversive
41.996	2	1	banana	neutral
344.997	2	1	bed	aversive
442.002	2	1	bench	neutral
638.002	2	1	bike	neutral
312.005	2	1	binoculars	aversive
0	2	1	boppypillow	aversive
480.002	2	1	bowl	aversive
53.999	2	1	bowlingpin	aversive
508.004	2	1	bowtie	neutral
281.996	2	1	bucket	aversive
135.005	2	1	butterfly	neutral
647.999	2	1	button	aversive
402.991	2	1	ceilingfan	neutral
363.997	2	1	cherry	aversive
291.994	2	1	clownfish	neutral
95.994	2	1	coconut	neutral
618.007	2	1	compass	aversive
215.994	2	1	computermouse	neutral
252.005	2	1	cookingpan	neutral
451.005	2	1	cookpot	neutral
66.002	2	1	crab	neutral
558.007	2	1	crown	neutral
9.003	2	1	cupsaucer	aversive
432.005	2	1	dolphin	neutral
163.007	2	1	dragonfly	aversive
394.006	2	1	durian	aversive
150.987	2	1	fan	aversive
498.007	2	1	flashlight	aversive
524.998	2	1	fork	aversive
517.007	2	1	gecko	neutral
708.994	2	1	glasses	neutral
587.999	2	1	glove	aversive
697.007	2	1	grape	aversive
420.997	2	1	guitar	neutral
78.006	2	1	hairbrush	aversive
689	2	1	hairdryer	neutral
677.991	2	1	handmirror	neutral
303.002	2	1	hat	neutral
227.003	2	1	headband	aversive
20.99	2	1	hourglass	neutral
116.005	2	1	icecreamcones	aversive
657.997	2	1	kettle	neutral
670	2	1	kiwifruit	aversive
264.008	2	1	lamp	neutral
356.006	2	1	lemon	aversive
85.997	2	1	lightbulb	aversive
274.005	2	1	lock	aversive
183.997	2	1	loster	aversive
193.994	2	1	motorcycle	neutral
243.997	2	1	nailpolish	aversive
126.997	2	1	necktie	neutral
489.005	2	1	orifan	neutral
107.003	2	1	paintbrush	neutral
322.997	2	1	pen	aversive
578.002	2	1	pipe	neutral
203.991	2	1	printer	aversive
383.992	2	1	rollingpin	neutral
332.994	2	1	rubberduck	aversive
536.007	2	1	scale	aversive
142.996	2	1	shirt	aversive
569.994	2	1	shoe	aversive
458.996	2	1	sofa	aversive
174.994	2	1	stapler	neutral
31.998	2	1	starfish	aversive
375.006	2	1	strawberry	neutral
597.996	2	1	tent	neutral
470.005	2	1	tire	neutral
546.004	2	1	washer	neutral
625.999	2	1	watergun	neutral
608.988	2	1	watermelon	aversive
