onset	duration	weight	object	emotion
707.999	2	1	abacus	neutral
423.997	2	1	babyplayard	aversive
89.992	2	1	banana	neutral
306.997	2	1	bed	aversive
287.997	2	1	bench	neutral
72.998	2	1	bike	neutral
522.991	2	1	binoculars	aversive
26.991	2	1	boppypillow	aversive
445.003	2	1	bowl	aversive
316.994	2	1	bowlingpin	aversive
398	2	1	bowtie	neutral
367.992	2	1	bucket	aversive
379.995	2	1	butterfly	neutral
197.989	2	1	button	aversive
345.991	2	1	ceilingfan	neutral
573.989	2	1	cherry	aversive
644.003	2	1	clownfish	neutral
552.983	2	1	coconut	neutral
158	2	1	compass	aversive
585.992	2	1	computermouse	neutral
0	2	1	cookingpan	neutral
226.986	2	1	cookpot	neutral
278.995	2	1	crab	neutral
237.994	2	1	crown	neutral
685.998	2	1	cupsaucer	aversive
597.001	2	1	dolphin	neutral
606.003	2	1	dragonfly	aversive
415.989	2	1	durian	aversive
268.003	2	1	fan	aversive
477.995	2	1	flashlight	aversive
37.004	2	1	fork	aversive
503.991	2	1	gecko	neutral
16.993	2	1	glasses	neutral
663.997	2	1	glove	aversive
297	2	1	grape	aversive
357	2	1	guitar	neutral
673.995	2	1	hairbrush	aversive
696.99	2	1	hairdryer	neutral
335.994	2	1	handmirror	neutral
82	2	1	hat	neutral
167.997	2	1	headband	aversive
436	2	1	hourglass	neutral
101.995	2	1	icecreamcones	aversive
259.995	2	1	kettle	neutral
205.996	2	1	kiwifruit	aversive
130.992	2	1	lamp	neutral
249.998	2	1	lemon	aversive
541.991	2	1	lightbulb	aversive
486.003	2	1	lock	aversive
532.988	2	1	loster	aversive
121.99	2	1	motorcycle	neutral
387.987	2	1	nailpolish	aversive
188.986	2	1	necktie	neutral
215.994	2	1	orifan	neutral
407.003	2	1	paintbrush	neutral
625.998	2	1	pen	aversive
177.994	2	1	pipe	neutral
48.991	2	1	printer	aversive
139	2	1	rollingpin	neutral
655.99	2	1	rubberduck	aversive
635.995	2	1	scale	aversive
511.999	2	1	shirt	aversive
455	2	1	shoe	aversive
563.992	2	1	sofa	aversive
617.99	2	1	stapler	neutral
326.992	2	1	starfish	aversive
7.991	2	1	strawberry	neutral
146.991	2	1	tent	neutral
60.995	2	1	tire	neutral
110.003	2	1	washer	neutral
494.989	2	1	watergun	neutral
465.992	2	1	watermelon	aversive
