onset	duration	weight	type	object	emotion
317.213	2	1	voice	abacus	aversive
219.203	2	1	voice	babyplayard	neutral
120.192	2	1	voice	banana	aversive
135.208	2	1	voice	bed	neutral
233.219	2	1	voice	bench	neutral
579.247	2	1	voice	bike	aversive
667.208	2	1	voice	binoculars	aversive
736.204	2	1	voice	boppypillow	aversive
751.203	2	1	voice	bowl	neutral
203.22	2	1	voice	bowlingpin	aversive
709.222	2	1	voice	bowtie	neutral
996.138	2	1	voice	bucket	neutral
622.211	2	1	voice	butterfly	neutral
956.207	2	1	voice	button	aversive
305.231	2	1	voice	ceilingfan	neutral
849.197	2	1	voice	cherry	aversive
835.214	2	1	voice	clownfish	neutral
862.213	2	1	voice	coconut	neutral
903.21	2	1	voice	compass	neutral
638.21	2	1	voice	computermouse	aversive
48.23	2	1	voice	cookingpan	neutral
263.2	2	1	voice	cookpot	aversive
495.352	2	1	voice	crab	aversive
681.207	2	1	voice	crown	neutral
810.199	2	1	voice	cupsaucer	neutral
891.211	2	1	voice	dolphin	aversive
79.211	2	1	voice	dragonfly	neutral
822.215	2	1	voice	durian	aversive
91.194	2	1	voice	fan	neutral
694.206	2	1	voice	flashlight	aversive
929.209	2	1	voice	fork	neutral
606.195	2	1	voice	gecko	aversive
32.231	2	1	voice	glasses	aversive
17.232	2	1	voice	glove	neutral
511.151	2	1	voice	grape	aversive
794.217	2	1	voice	guitar	aversive
780.218	2	1	voice	hairbrush	neutral
277.216	2	1	voice	hairdryer	neutral
440.222	2	1	voice	handmirror	aversive
981.205	2	1	voice	hat	aversive
651.176	2	1	voice	headband	neutral
567.214	2	1	voice	hourglass	aversive
554.199	2	1	voice	icecreamcones	neutral
592.213	2	1	voice	kettle	neutral
356.211	2	1	voice	kiwifruit	aversive
764.202	2	1	voice	lamp	neutral
383.209	2	1	voice	lemon	aversive
414.224	2	1	voice	lightbulb	neutral
248.218	2	1	voice	lock	aversive
968.273	2	1	voice	loster	neutral
428.223	2	1	voice	motorcycle	aversive
723.238	2	1	voice	nailpolish	neutral
2.618	2	1	voice	necktie	neutral
107.226	2	1	voice	orifan	aversive
147.207	2	1	voice	paintbrush	neutral
189.205	2	1	voice	pen	aversive
399.158	2	1	voice	pipe	aversive
942.208	2	1	voice	printer	aversive
64.212	2	1	voice	rollingpin	aversive
877.212	2	1	voice	rubberduck	neutral
368.21	2	1	voice	scale	neutral
482.153	2	1	voice	shirt	neutral
332.196	2	1	voice	shoe	aversive
469.204	2	1	voice	sofa	aversive
344.162	2	1	voice	stapler	neutral
163.223	2	1	voice	starfish	aversive
289.248	2	1	voice	strawberry	aversive
540.199	2	1	voice	tent	aversive
524.217	2	1	voice	tire	neutral
455.205	2	1	voice	washer	neutral
917.209	2	1	voice	watergun	aversive
177.205	2	1	voice	watermelon	neutral
315.013	2	1	face	abacus	aversive
217.003	2	1	face	babyplayard	neutral
118.009	2	1	face	banana	aversive
133.008	2	1	face	bed	neutral
231.002	2	1	face	bench	neutral
577.014	2	1	face	bike	aversive
665.008	2	1	face	binoculars	aversive
734.004	2	1	face	boppypillow	aversive
749.003	2	1	face	bowl	neutral
201.004	2	1	face	bowlingpin	aversive
707.006	2	1	face	bowtie	neutral
994.004	2	1	face	bucket	neutral
620.011	2	1	face	butterfly	neutral
954.007	2	1	face	button	aversive
302.997	2	1	face	ceilingfan	neutral
847.014	2	1	face	cherry	aversive
832.998	2	1	face	clownfish	neutral
860.013	2	1	face	coconut	neutral
901.01	2	1	face	compass	neutral
636.01	2	1	face	computermouse	aversive
46.013	2	1	face	cookingpan	neutral
261	2	1	face	cookpot	aversive
493.002	2	1	face	crab	aversive
679.007	2	1	face	crown	neutral
807.999	2	1	face	cupsaucer	neutral
889.011	2	1	face	dolphin	aversive
76.995	2	1	face	dragonfly	neutral
819.999	2	1	face	durian	aversive
89.011	2	1	face	fan	neutral
692.007	2	1	face	flashlight	aversive
927.009	2	1	face	fork	neutral
604.012	2	1	face	gecko	aversive
29.998	2	1	face	glasses	aversive
14.999	2	1	face	glove	neutral
509.001	2	1	face	grape	aversive
792	2	1	face	guitar	aversive
778.001	2	1	face	hairbrush	neutral
274.999	2	1	face	hairdryer	neutral
438.006	2	1	face	handmirror	aversive
979.005	2	1	face	hat	aversive
649.009	2	1	face	headband	neutral
564.998	2	1	face	hourglass	aversive
551.999	2	1	face	icecreamcones	neutral
590.013	2	1	face	kettle	neutral
354.011	2	1	face	kiwifruit	aversive
762.002	2	1	face	lamp	neutral
381.009	2	1	face	lemon	aversive
412.007	2	1	face	lightbulb	neutral
246.001	2	1	face	lock	aversive
966.006	2	1	face	loster	neutral
426.007	2	1	face	motorcycle	aversive
721.005	2	1	face	nailpolish	neutral
0	2	1	face	necktie	neutral
105.01	2	1	face	orifan	aversive
145.007	2	1	face	paintbrush	neutral
187.005	2	1	face	pen	aversive
397.008	2	1	face	pipe	aversive
940.008	2	1	face	printer	aversive
62.012	2	1	face	rollingpin	aversive
875.012	2	1	face	rubberduck	neutral
366.01	2	1	face	scale	neutral
480.003	2	1	face	shirt	neutral
330.013	2	1	face	shoe	aversive
467.004	2	1	face	sofa	aversive
342.012	2	1	face	stapler	neutral
161.006	2	1	face	starfish	aversive
286.998	2	1	face	strawberry	aversive
538	2	1	face	tent	aversive
522.001	2	1	face	tire	neutral
453.005	2	1	face	washer	neutral
915.009	2	1	face	watergun	aversive
175.005	2	1	face	watermelon	neutral
