onset	duration	weight	type	object	emotion
303.231	2	1	voice	abacus	aversive
116.209	2	1	voice	babyplayard	aversive
44.197	2	1	voice	banana	neutral
738.221	2	1	voice	bed	aversive
940.191	2	1	voice	bench	aversive
70.212	2	1	voice	bike	neutral
200.204	2	1	voice	binoculars	neutral
848.197	2	1	voice	boppypillow	aversive
886.195	2	1	voice	bowl	aversive
442.239	2	1	voice	bowlingpin	neutral
616.195	2	1	voice	bowtie	aversive
723.221	2	1	voice	bucket	neutral
782.201	2	1	voice	butterfly	neutral
214.203	2	1	voice	button	aversive
413.191	2	1	voice	ceilingfan	neutral
795.2	2	1	voice	cherry	aversive
429.223	2	1	voice	clownfish	aversive
861.23	2	1	voice	coconut	neutral
587.23	2	1	voice	compass	aversive
184.205	2	1	voice	computermouse	aversive
257.2	2	1	voice	cookingpan	neutral
86.194	2	1	voice	cookpot	aversive
130.208	2	1	voice	crab	aversive
102.21	2	1	voice	crown	neutral
807.2	2	1	voice	cupsaucer	neutral
289.215	2	1	voice	dolphin	aversive
29.231	2	1	voice	dragonfly	aversive
683.207	2	1	voice	durian	neutral
927.142	2	1	voice	fan	neutral
821.199	2	1	voice	flashlight	aversive
316.214	2	1	voice	fork	neutral
346.212	2	1	voice	gecko	neutral
979.206	2	1	voice	glasses	aversive
17.249	2	1	voice	glove	neutral
754.22	2	1	voice	grape	aversive
331.213	2	1	voice	guitar	aversive
242.201	2	1	voice	hairbrush	aversive
556.199	2	1	voice	hairdryer	aversive
471.204	2	1	voice	handmirror	aversive
601.212	2	1	voice	hat	neutral
388.209	2	1	voice	headband	neutral
658.209	2	1	voice	hourglass	neutral
458.205	2	1	voice	icecreamcones	aversive
2.335	2	1	voice	kettle	aversive
994.188	2	1	voice	kiwifruit	neutral
56.213	2	1	voice	lamp	aversive
710.206	2	1	voice	lemon	aversive
544.199	2	1	voice	lightbulb	neutral
484.203	2	1	voice	lock	neutral
228.202	2	1	voice	loster	neutral
671.208	2	1	voice	motorcycle	aversive
571.198	2	1	voice	nailpolish	neutral
768.202	2	1	voice	necktie	neutral
952.207	2	1	voice	orifan	neutral
497.202	2	1	voice	paintbrush	neutral
372.193	2	1	voice	pen	neutral
156.24	2	1	voice	pipe	neutral
900.21	2	1	voice	printer	neutral
873.212	2	1	voice	rollingpin	neutral
358.211	2	1	voice	rubberduck	aversive
645.21	2	1	voice	scale	aversive
273.199	2	1	voice	shirt	neutral
400.192	2	1	voice	shoe	aversive
913.21	2	1	voice	sofa	aversive
833.198	2	1	voice	stapler	neutral
964.207	2	1	voice	starfish	aversive
698.206	2	1	voice	strawberry	aversive
142.224	2	1	voice	tent	neutral
529.217	2	1	voice	tire	neutral
630.211	2	1	voice	washer	neutral
172.189	2	1	voice	watergun	aversive
513.201	2	1	voice	watermelon	aversive
300.998	2	1	face	abacus	aversive
113.993	2	1	face	babyplayard	aversive
41.997	2	1	face	banana	neutral
736.004	2	1	face	bed	aversive
938.008	2	1	face	bench	aversive
67.996	2	1	face	bike	neutral
198.004	2	1	face	binoculars	neutral
845.997	2	1	face	boppypillow	aversive
883.995	2	1	face	bowl	aversive
440.006	2	1	face	bowlingpin	neutral
613.995	2	1	face	bowtie	aversive
721.005	2	1	face	bucket	neutral
780.001	2	1	face	butterfly	neutral
212.003	2	1	face	button	aversive
411.008	2	1	face	ceilingfan	neutral
793.001	2	1	face	cherry	aversive
427.007	2	1	face	clownfish	aversive
858.996	2	1	face	coconut	neutral
584.997	2	1	face	compass	aversive
182.005	2	1	face	computermouse	aversive
255.001	2	1	face	cookingpan	neutral
83.995	2	1	face	cookpot	aversive
128.009	2	1	face	crab	aversive
99.994	2	1	face	crown	neutral
805	2	1	face	cupsaucer	neutral
286.999	2	1	face	dolphin	aversive
26.998	2	1	face	dragonfly	aversive
681.007	2	1	face	durian	neutral
924.992	2	1	face	fan	neutral
818.999	2	1	face	flashlight	aversive
313.997	2	1	face	fork	neutral
343.995	2	1	face	gecko	neutral
977.006	2	1	face	glasses	aversive
14.999	2	1	face	glove	neutral
752.003	2	1	face	grape	aversive
328.996	2	1	face	guitar	aversive
240.002	2	1	face	hairbrush	aversive
553.999	2	1	face	hairdryer	aversive
469.004	2	1	face	handmirror	aversive
598.996	2	1	face	hat	neutral
385.992	2	1	face	headband	neutral
655.992	2	1	face	hourglass	neutral
456.005	2	1	face	icecreamcones	aversive
0	2	1	face	kettle	aversive
992.005	2	1	face	kiwifruit	neutral
53.997	2	1	face	lamp	aversive
708.006	2	1	face	lemon	aversive
541.999	2	1	face	lightbulb	neutral
482.003	2	1	face	lock	neutral
226.002	2	1	face	loster	neutral
669.008	2	1	face	motorcycle	aversive
568.998	2	1	face	nailpolish	neutral
766.002	2	1	face	necktie	neutral
950.007	2	1	face	orifan	neutral
495.002	2	1	face	paintbrush	neutral
369.994	2	1	face	pen	neutral
154.007	2	1	face	pipe	neutral
897.994	2	1	face	printer	neutral
870.996	2	1	face	rollingpin	neutral
355.994	2	1	face	rubberduck	aversive
642.993	2	1	face	scale	aversive
271	2	1	face	shirt	neutral
398.008	2	1	face	shoe	aversive
910.993	2	1	face	sofa	aversive
830.998	2	1	face	stapler	neutral
962.007	2	1	face	starfish	aversive
696.007	2	1	face	strawberry	aversive
140.008	2	1	face	tent	neutral
527	2	1	face	tire	neutral
627.994	2	1	face	washer	neutral
170.006	2	1	face	watergun	aversive
511.001	2	1	face	watermelon	aversive
