onset	duration	weight	object	emotion
701.003	2	1	abacus	aversive
498.007	2	1	babyplayard	aversive
507.009	2	1	banana	neutral
539.007	2	1	bed	aversive
271.004	2	1	bench	aversive
474.995	2	1	bike	neutral
129.003	2	1	binoculars	neutral
394.005	2	1	boppypillow	aversive
218.995	2	1	bowl	aversive
158.995	2	1	bowlingpin	neutral
252.004	2	1	bowtie	aversive
170.003	2	1	bucket	neutral
281.001	2	1	butterfly	neutral
690.011	2	1	button	aversive
681.008	2	1	ceilingfan	neutral
546.998	2	1	cherry	aversive
322.002	2	1	clownfish	aversive
75.004	2	1	coconut	neutral
177.995	2	1	compass	aversive
94.999	2	1	computermouse	aversive
259.995	2	1	cookingpan	neutral
464.003	2	1	cookpot	aversive
454.006	2	1	crab	aversive
584.998	2	1	crown	neutral
653.006	2	1	cupsaucer	neutral
106.008	2	1	dolphin	aversive
420.996	2	1	dragonfly	aversive
594.001	2	1	durian	neutral
148.997	2	1	fan	neutral
643.009	2	1	flashlight	aversive
384.008	2	1	fork	neutral
567.01	2	1	gecko	neutral
230.998	2	1	glasses	aversive
47.997	2	1	glove	neutral
635.001	2	1	grape	aversive
85.002	2	1	guitar	aversive
188.008	2	1	hairbrush	aversive
363.997	2	1	hairdryer	aversive
117.994	2	1	handmirror	aversive
207.008	2	1	hat	neutral
242.007	2	1	headband	neutral
575.001	2	1	hourglass	neutral
0	2	1	icecreamcones	aversive
603.003	2	1	kettle	aversive
486.003	2	1	kiwifruit	neutral
404.997	2	1	lamp	aversive
555.006	2	1	lemon	aversive
21.006	2	1	lightbulb	neutral
433	2	1	lock	neutral
613	2	1	loster	neutral
136.994	2	1	motorcycle	aversive
353.005	2	1	nailpolish	neutral
312.999	2	1	necktie	neutral
198.006	2	1	orifan	neutral
710.005	2	1	paintbrush	neutral
530.005	2	1	pen	neutral
56.999	2	1	pipe	neutral
300.996	2	1	printer	neutral
672.006	2	1	rollingpin	neutral
413.005	2	1	rubberduck	aversive
375.006	2	1	scale	aversive
518.001	2	1	shirt	neutral
65.007	2	1	shoe	aversive
37.005	2	1	sofa	aversive
28.997	2	1	stapler	neutral
289.009	2	1	starfish	aversive
663.998	2	1	strawberry	aversive
331.999	2	1	tent	neutral
625.004	2	1	tire	neutral
9.002	2	1	washer	neutral
344.002	2	1	watergun	aversive
445.003	2	1	watermelon	aversive
