onset	duration	weight	type	object	emotion
57.229	2	1	voice	abacus	neutral
612.211	2	1	voice	babyplayard	aversive
250.201	2	1	voice	banana	aversive
791.2	2	1	voice	bed	aversive
833.197	2	1	voice	bench	aversive
942.207	2	1	voice	bike	aversive
176.239	2	1	voice	binoculars	neutral
746.186	2	1	voice	boppypillow	aversive
415.224	2	1	voice	bowl	aversive
45.18	2	1	voice	bowlingpin	aversive
861.196	2	1	voice	bowtie	neutral
660.225	2	1	voice	bucket	neutral
444.205	2	1	voice	butterfly	neutral
676.191	2	1	voice	button	neutral
207.203	2	1	voice	ceilingfan	aversive
400.208	2	1	voice	cherry	aversive
29.248	2	1	voice	clownfish	aversive
596.196	2	1	voice	coconut	neutral
265.216	2	1	voice	compass	neutral
293.231	2	1	voice	computermouse	aversive
387.209	2	1	voice	cookingpan	neutral
152.223	2	1	voice	cookpot	neutral
348.211	2	1	voice	crab	aversive
628.194	2	1	voice	crown	neutral
804.216	2	1	voice	cupsaucer	neutral
719.205	2	1	voice	dolphin	neutral
281.215	2	1	voice	dragonfly	neutral
17.282	2	1	voice	durian	neutral
644.209	2	1	voice	fan	aversive
703.156	2	1	voice	flashlight	aversive
995.204	2	1	voice	fork	aversive
430.206	2	1	voice	gecko	neutral
524.2	2	1	voice	glasses	aversive
873.212	2	1	voice	glove	aversive
164.206	2	1	voice	grape	aversive
955.19	2	1	voice	guitar	aversive
322.213	2	1	voice	hairbrush	aversive
820.198	2	1	voice	hairdryer	aversive
458.204	2	1	voice	handmirror	aversive
537.216	2	1	voice	hat	aversive
2.651	2	1	voice	headband	neutral
307.197	2	1	voice	hourglass	neutral
334.212	2	1	voice	icecreamcones	neutral
551.198	2	1	voice	kettle	neutral
485.219	2	1	voice	kiwifruit	neutral
139.191	2	1	voice	lamp	aversive
688.207	2	1	voice	lemon	aversive
100.21	2	1	voice	lightbulb	aversive
86.211	2	1	voice	lock	aversive
114.209	2	1	voice	loster	neutral
375.21	2	1	voice	motorcycle	aversive
238.218	2	1	voice	nailpolish	neutral
916.209	2	1	voice	necktie	aversive
567.231	2	1	voice	orifan	aversive
497.202	2	1	voice	paintbrush	aversive
470.204	2	1	voice	pen	aversive
191.254	2	1	voice	pipe	neutral
847.23	2	1	voice	printer	neutral
73.212	2	1	voice	rollingpin	neutral
734.204	2	1	voice	rubberduck	neutral
968.156	2	1	voice	scale	neutral
126.208	2	1	voice	shirt	aversive
762.202	2	1	voice	shoe	aversive
902.21	2	1	voice	sofa	neutral
776.118	2	1	voice	stapler	neutral
929.208	2	1	voice	starfish	neutral
582.213	2	1	voice	strawberry	neutral
888.194	2	1	voice	tent	aversive
361.21	2	1	voice	tire	neutral
511.201	2	1	voice	washer	neutral
982.238	2	1	voice	watergun	neutral
222.202	2	1	voice	watermelon	neutral
55.013	2	1	face	abacus	neutral
610.011	2	1	face	babyplayard	aversive
248.001	2	1	face	banana	aversive
789	2	1	face	bed	aversive
831.014	2	1	face	bench	aversive
940.007	2	1	face	bike	aversive
174.005	2	1	face	binoculars	neutral
744.003	2	1	face	boppypillow	aversive
413.007	2	1	face	bowl	aversive
43.014	2	1	face	bowlingpin	aversive
859.013	2	1	face	bowtie	neutral
658.008	2	1	face	bucket	neutral
442.005	2	1	face	butterfly	neutral
674.007	2	1	face	button	neutral
205.003	2	1	face	ceilingfan	aversive
398.008	2	1	face	cherry	aversive
27.015	2	1	face	clownfish	aversive
594.012	2	1	face	coconut	neutral
263.017	2	1	face	compass	neutral
291.015	2	1	face	computermouse	aversive
385.009	2	1	face	cookingpan	neutral
150.007	2	1	face	cookpot	neutral
346.011	2	1	face	crab	aversive
626.01	2	1	face	crown	neutral
802.016	2	1	face	cupsaucer	neutral
717.005	2	1	face	dolphin	neutral
279.016	2	1	face	dragonfly	neutral
15.015	2	1	face	durian	neutral
642.009	2	1	face	fan	aversive
701.006	2	1	face	flashlight	aversive
993.004	2	1	face	fork	aversive
428.006	2	1	face	gecko	neutral
522	2	1	face	glasses	aversive
871.012	2	1	face	glove	aversive
162.006	2	1	face	grape	aversive
953.007	2	1	face	guitar	aversive
320.013	2	1	face	hairbrush	aversive
817.998	2	1	face	hairdryer	aversive
456.004	2	1	face	handmirror	aversive
535.016	2	1	face	hat	aversive
0	2	1	face	headband	neutral
305.014	2	1	face	hourglass	neutral
332.012	2	1	face	icecreamcones	neutral
549.015	2	1	face	kettle	neutral
483.003	2	1	face	kiwifruit	neutral
137.008	2	1	face	lamp	aversive
686.007	2	1	face	lemon	aversive
98.01	2	1	face	lightbulb	aversive
84.011	2	1	face	lock	aversive
112.009	2	1	face	loster	neutral
373.01	2	1	face	motorcycle	aversive
236.002	2	1	face	nailpolish	neutral
914.009	2	1	face	necktie	aversive
565.014	2	1	face	orifan	aversive
495.002	2	1	face	paintbrush	aversive
468.004	2	1	face	pen	aversive
189.005	2	1	face	pipe	neutral
845.013	2	1	face	printer	neutral
71.012	2	1	face	rollingpin	neutral
732.004	2	1	face	rubberduck	neutral
966.006	2	1	face	scale	neutral
124.009	2	1	face	shirt	aversive
760.002	2	1	face	shoe	aversive
900.01	2	1	face	sofa	neutral
774.001	2	1	face	stapler	neutral
927.008	2	1	face	starfish	neutral
580.013	2	1	face	strawberry	neutral
886.011	2	1	face	tent	aversive
359.011	2	1	face	tire	neutral
509.001	2	1	face	washer	neutral
980.005	2	1	face	watergun	neutral
220.003	2	1	face	watermelon	neutral
