onset	duration	weight	object	emotion
223.985	2	1	abacus	aversive
215.994	2	1	babyplayard	aversive
520.985	2	1	banana	aversive
623.992	2	1	bed	neutral
0	2	1	bench	neutral
10.992	2	1	bike	neutral
60.995	2	1	binoculars	neutral
616.001	2	1	boppypillow	neutral
297	2	1	bowl	neutral
385.997	2	1	bowlingpin	aversive
234.994	2	1	bowtie	aversive
319.001	2	1	bucket	aversive
276.989	2	1	butterfly	aversive
463.986	2	1	button	aversive
408.993	2	1	ceilingfan	neutral
178.989	2	1	cherry	aversive
431.988	2	1	clownfish	neutral
368.987	2	1	coconut	neutral
420.001	2	1	compass	neutral
693.989	2	1	computermouse	aversive
480.996	2	1	cookingpan	neutral
90.986	2	1	cookpot	neutral
159.989	2	1	crab	aversive
168.992	2	1	crown	neutral
709.988	2	1	cupsaucer	neutral
339.99	2	1	dolphin	neutral
398	2	1	dragonfly	neutral
439.996	2	1	durian	neutral
19.994	2	1	fan	aversive
139	2	1	flashlight	neutral
451.999	2	1	fork	aversive
471.994	2	1	gecko	neutral
563.992	2	1	glasses	aversive
130.992	2	1	glove	neutral
285.991	2	1	grape	aversive
31.997	2	1	guitar	neutral
206.991	2	1	hairbrush	aversive
489.999	2	1	hairdryer	aversive
583.986	2	1	handmirror	aversive
118.989	2	1	hat	aversive
255.999	2	1	headband	neutral
246.997	2	1	hourglass	neutral
654	2	1	icecreamcones	neutral
606.998	2	1	kettle	aversive
501.985	2	1	kiwifruit	neutral
664.992	2	1	lamp	neutral
82	2	1	lemon	neutral
41.995	2	1	lightbulb	neutral
329.992	2	1	lock	aversive
349.987	2	1	loster	aversive
196.994	2	1	motorcycle	neutral
553	2	1	nailpolish	aversive
635.995	2	1	necktie	neutral
684.987	2	1	orifan	neutral
51.992	2	1	paintbrush	aversive
266.991	2	1	pen	aversive
594.995	2	1	pipe	aversive
674.99	2	1	printer	aversive
645.993	2	1	rollingpin	neutral
575.995	2	1	rubberduck	aversive
532.989	2	1	scale	aversive
101	2	1	shirt	aversive
510.988	2	1	shoe	aversive
110.997	2	1	sofa	aversive
188.986	2	1	stapler	aversive
377.989	2	1	starfish	neutral
307.992	2	1	strawberry	neutral
357.995	2	1	tent	neutral
148.997	2	1	tire	aversive
72.998	2	1	washer	aversive
701.997	2	1	watergun	aversive
540.996	2	1	watermelon	neutral
