onset	duration	weight	object	emotion
409.987	2	1	abacus	aversive
611.989	2	1	babyplayard	aversive
29.991	2	1	banana	aversive
600.997	2	1	bed	neutral
400.985	2	1	bench	neutral
495.984	2	1	bike	neutral
287.997	2	1	binoculars	neutral
235.988	2	1	boppypillow	neutral
461.98	2	1	bowl	neutral
66.996	2	1	bowlingpin	aversive
670.994	2	1	bowtie	aversive
126.98	2	1	bucket	aversive
85.996	2	1	butterfly	aversive
38.016	2	1	button	aversive
161.995	2	1	ceilingfan	neutral
277.984	2	1	cherry	aversive
507.423	2	1	clownfish	neutral
382.996	2	1	coconut	neutral
0	2	1	compass	neutral
56.999	2	1	computermouse	aversive
514.984	2	1	cookingpan	neutral
632.995	2	1	cookpot	neutral
642.992	2	1	crab	aversive
572	2	1	crown	neutral
19.994	2	1	cupsaucer	neutral
559.996	2	1	dolphin	neutral
486.998	2	1	dragonfly	neutral
374.989	2	1	durian	neutral
138.983	2	1	fan	aversive
709.989	2	1	flashlight	neutral
580.986	2	1	fork	aversive
699.991	2	1	gecko	neutral
116.983	2	1	glasses	aversive
192.998	2	1	glove	neutral
440.99	2	1	grape	aversive
678.985	2	1	guitar	neutral
97.999	2	1	hairbrush	aversive
363.997	2	1	hairdryer	aversive
75.999	2	1	handmirror	aversive
588.993	2	1	hat	aversive
421.991	2	1	headband	neutral
244.991	2	1	hourglass	neutral
180.995	2	1	icecreamcones	neutral
469.988	2	1	kettle	aversive
48.991	2	1	kiwifruit	neutral
149.992	2	1	lamp	neutral
530.999	2	1	lemon	neutral
330.987	2	1	lightbulb	neutral
203.99	2	1	lock	aversive
548.988	2	1	loster	aversive
540.996	2	1	motorcycle	neutral
265.997	2	1	nailpolish	aversive
431.988	2	1	necktie	neutral
690.989	2	1	orifan	neutral
342.991	2	1	paintbrush	aversive
662.986	2	1	pen	aversive
298.989	2	1	pipe	aversive
351.993	2	1	printer	aversive
391.999	2	1	rollingpin	neutral
319.995	2	1	rubberduck	aversive
452.994	2	1	scale	aversive
171.993	2	1	shirt	aversive
254.988	2	1	shoe	aversive
9.997	2	1	sofa	aversive
477.995	2	1	stapler	aversive
622.003	2	1	starfish	neutral
310.993	2	1	strawberry	neutral
225.991	2	1	tent	neutral
214.999	2	1	tire	aversive
651.431	2	1	washer	aversive
108.991	2	1	watergun	aversive
522.991	2	1	watermelon	neutral
