onset	duration	weight	type	object	emotion
870.195	2	1	voice	abacus	neutral
656.192	2	1	voice	babyplayard	aversive
967.206	2	1	voice	banana	aversive
464.204	2	1	voice	bed	aversive
424.206	2	1	voice	bench	aversive
507.218	2	1	voice	bike	neutral
813.199	2	1	voice	binoculars	neutral
601.212	2	1	voice	boppypillow	neutral
994.221	2	1	voice	bowl	neutral
761.219	2	1	voice	bowlingpin	neutral
452.188	2	1	voice	bowtie	aversive
840.197	2	1	voice	bucket	aversive
97.21	2	1	voice	butterfly	neutral
395.208	2	1	voice	button	neutral
478.203	2	1	voice	ceilingfan	neutral
773.201	2	1	voice	cherry	neutral
83.195	2	1	voice	clownfish	aversive
111.209	2	1	voice	coconut	aversive
338.212	2	1	voice	compass	neutral
644.209	2	1	voice	computermouse	neutral
730.204	2	1	voice	cookingpan	neutral
745.203	2	1	voice	cookpot	aversive
826.198	2	1	voice	crab	aversive
281.199	2	1	voice	crown	aversive
925.225	2	1	voice	cupsaucer	aversive
351.178	2	1	voice	dolphin	aversive
2.568	2	1	voice	dragonfly	neutral
856.246	2	1	voice	durian	neutral
156.223	2	1	voice	fan	aversive
700.206	2	1	voice	flashlight	aversive
411.207	2	1	voice	fork	neutral
574.214	2	1	voice	gecko	aversive
169.206	2	1	voice	glasses	aversive
628.21	2	1	voice	glove	neutral
200.204	2	1	voice	grape	neutral
980.205	2	1	voice	guitar	aversive
440.239	2	1	voice	hairbrush	neutral
614.195	2	1	voice	hairdryer	aversive
308.197	2	1	voice	handmirror	neutral
685.207	2	1	voice	hat	neutral
379.193	2	1	voice	headband	aversive
14.249	2	1	voice	hourglass	neutral
536.2	2	1	voice	icecreamcones	aversive
897.21	2	1	voice	kettle	aversive
55.213	2	1	voice	kiwifruit	neutral
268.2	2	1	voice	lamp	aversive
954.19	2	1	voice	lemon	neutral
884.111	2	1	voice	lightbulb	aversive
126.209	2	1	voice	lock	neutral
229.185	2	1	voice	loster	aversive
296.215	2	1	voice	motorcycle	neutral
367.193	2	1	voice	nailpolish	neutral
587.213	2	1	voice	necktie	aversive
67.212	2	1	voice	orifan	neutral
520.201	2	1	voice	paintbrush	neutral
324.213	2	1	voice	pen	aversive
670.208	2	1	voice	pipe	aversive
940.208	2	1	voice	printer	aversive
215.203	2	1	voice	rollingpin	aversive
26.215	2	1	voice	rubberduck	aversive
715.205	2	1	voice	scale	neutral
785.201	2	1	voice	shirt	aversive
142.208	2	1	voice	shoe	neutral
185.205	2	1	voice	sofa	neutral
910.193	2	1	voice	stapler	neutral
797.2	2	1	voice	starfish	aversive
493.202	2	1	voice	strawberry	aversive
40.214	2	1	voice	tent	aversive
549.199	2	1	voice	tire	aversive
241.185	2	1	voice	washer	neutral
256.2	2	1	voice	watergun	neutral
561.198	2	1	voice	watermelon	neutral
867.995	2	1	face	abacus	neutral
653.992	2	1	face	babyplayard	aversive
965.006	2	1	face	banana	aversive
462.004	2	1	face	bed	aversive
422.007	2	1	face	bench	aversive
505.001	2	1	face	bike	neutral
810.999	2	1	face	binoculars	neutral
598.996	2	1	face	boppypillow	neutral
992.004	2	1	face	bowl	neutral
759.002	2	1	face	bowlingpin	neutral
450.005	2	1	face	bowtie	aversive
837.997	2	1	face	bucket	aversive
94.994	2	1	face	butterfly	neutral
392.992	2	1	face	button	neutral
476.003	2	1	face	ceilingfan	neutral
771.001	2	1	face	cherry	neutral
80.995	2	1	face	clownfish	aversive
108.993	2	1	face	coconut	aversive
335.995	2	1	face	compass	neutral
641.993	2	1	face	computermouse	neutral
728.004	2	1	face	cookingpan	neutral
743.003	2	1	face	cookpot	aversive
823.998	2	1	face	crab	aversive
278.999	2	1	face	crown	aversive
922.992	2	1	face	cupsaucer	aversive
348.995	2	1	face	dolphin	aversive
0	2	1	face	dragonfly	neutral
853.996	2	1	face	durian	neutral
154.007	2	1	face	fan	aversive
698.006	2	1	face	flashlight	aversive
409.008	2	1	face	fork	neutral
571.997	2	1	face	gecko	aversive
167.006	2	1	face	glasses	aversive
625.994	2	1	face	glove	neutral
198.004	2	1	face	grape	neutral
978.005	2	1	face	guitar	aversive
438.006	2	1	face	hairbrush	neutral
611.995	2	1	face	hairdryer	aversive
305.997	2	1	face	handmirror	neutral
683.007	2	1	face	hat	neutral
376.993	2	1	face	headband	aversive
11.999	2	1	face	hourglass	neutral
534	2	1	face	icecreamcones	aversive
894.994	2	1	face	kettle	aversive
52.996	2	1	face	kiwifruit	neutral
266	2	1	face	lamp	aversive
952.007	2	1	face	lemon	neutral
881.994	2	1	face	lightbulb	aversive
123.992	2	1	face	lock	neutral
227.002	2	1	face	loster	aversive
293.998	2	1	face	motorcycle	neutral
364.994	2	1	face	nailpolish	neutral
584.996	2	1	face	necktie	aversive
64.996	2	1	face	orifan	neutral
518.001	2	1	face	paintbrush	neutral
321.996	2	1	face	pen	aversive
668.008	2	1	face	pipe	aversive
938.008	2	1	face	printer	aversive
213.003	2	1	face	rollingpin	aversive
23.998	2	1	face	rubberduck	aversive
713.005	2	1	face	scale	neutral
783.001	2	1	face	shirt	aversive
140.008	2	1	face	shoe	neutral
183.005	2	1	face	sofa	neutral
907.993	2	1	face	stapler	neutral
795	2	1	face	starfish	aversive
491.002	2	1	face	strawberry	aversive
37.997	2	1	face	tent	aversive
546.999	2	1	face	tire	aversive
239.001	2	1	face	washer	neutral
254.001	2	1	face	watergun	neutral
558.998	2	1	face	watermelon	neutral
