onset	duration	weight	object	emotion
259.001	2	1	abacus	neutral
316	2	1	babyplayard	neutral
9.003	2	1	banana	neutral
600.003	2	1	bed	neutral
621.008	2	1	bench	aversive
344.997	2	1	bike	neutral
587.999	2	1	binoculars	aversive
160.006	2	1	boppypillow	aversive
229.009	2	1	bowl	aversive
139.995	2	1	bowlingpin	neutral
75.005	2	1	bowtie	aversive
536.007	2	1	bucket	aversive
520.008	2	1	butterfly	neutral
31.003	2	1	button	neutral
95.994	2	1	ceilingfan	neutral
638.997	2	1	cherry	neutral
21.006	2	1	clownfish	aversive
698.997	2	1	coconut	neutral
457.007	2	1	compass	aversive
287.003	2	1	computermouse	neutral
667.994	2	1	cookingpan	aversive
249.998	2	1	cookpot	aversive
486.004	2	1	crab	neutral
429.004	2	1	crown	neutral
504.009	2	1	cupsaucer	neutral
41.995	2	1	dolphin	aversive
117.995	2	1	dragonfly	aversive
365.009	2	1	durian	neutral
170.998	2	1	fan	neutral
568.999	2	1	flashlight	aversive
398.996	2	1	fork	aversive
106.008	2	1	gecko	neutral
267.009	2	1	glasses	neutral
410.005	2	1	glove	aversive
477.996	2	1	grape	aversive
192.999	2	1	guitar	neutral
212.994	2	1	hairbrush	aversive
631.006	2	1	hairdryer	aversive
468.993	2	1	handmirror	aversive
546.999	2	1	hat	neutral
0	2	1	headband	neutral
221.001	2	1	hourglass	aversive
183.002	2	1	icecreamcones	neutral
678.008	2	1	kettle	neutral
148.003	2	1	kiwifruit	neutral
202.996	2	1	lamp	neutral
438.007	2	1	lemon	aversive
297.995	2	1	lightbulb	neutral
275.995	2	1	lock	aversive
419.007	2	1	loster	aversive
512	2	1	motorcycle	aversive
651	2	1	nailpolish	aversive
527.999	2	1	necktie	aversive
306.003	2	1	orifan	neutral
128.008	2	1	paintbrush	aversive
50.998	2	1	pen	neutral
356.006	2	1	pipe	aversive
689	2	1	printer	aversive
63.001	2	1	rollingpin	aversive
496.001	2	1	rubberduck	aversive
85.002	2	1	scale	neutral
448.004	2	1	shirt	aversive
328.004	2	1	shoe	neutral
239.006	2	1	sofa	aversive
558.007	2	1	stapler	neutral
612.006	2	1	starfish	neutral
708	2	1	strawberry	neutral
376.995	2	1	tent	aversive
388.004	2	1	tire	neutral
337.006	2	1	washer	aversive
578.997	2	1	watergun	neutral
660.003	2	1	watermelon	aversive
