onset	duration	weight	object	emotion
637.007	2	1	abacus	neutral
473.005	2	1	babyplayard	neutral
38	2	1	banana	aversive
332.994	2	1	bed	neutral
344.002	2	1	bench	neutral
495.006	2	1	bike	aversive
564.009	2	1	binoculars	aversive
515	2	1	boppypillow	neutral
701.003	2	1	bowl	neutral
381.007	2	1	bowlingpin	neutral
47.997	2	1	bowtie	aversive
625.998	2	1	bucket	aversive
679.002	2	1	butterfly	aversive
659.008	2	1	button	aversive
596.007	2	1	ceilingfan	neutral
305.008	2	1	cherry	neutral
670.994	2	1	clownfish	neutral
293.999	2	1	coconut	aversive
164.997	2	1	compass	neutral
136.994	2	1	computermouse	aversive
185.008	2	1	cookingpan	aversive
57.994	2	1	cookpot	neutral
255.005	2	1	crab	neutral
572	2	1	crown	neutral
607.993	2	1	cupsaucer	neutral
584.003	2	1	dolphin	neutral
711.995	2	1	dragonfly	aversive
648.994	2	1	durian	neutral
214.005	2	1	fan	aversive
195.005	2	1	flashlight	neutral
325.003	2	1	fork	aversive
79.995	2	1	gecko	aversive
224.002	2	1	glasses	neutral
88.997	2	1	glove	aversive
553.995	2	1	grape	aversive
353.005	2	1	guitar	neutral
110.003	2	1	hairbrush	neutral
403.008	2	1	hairdryer	neutral
451.005	2	1	handmirror	aversive
442.997	2	1	hat	aversive
265.997	2	1	headband	aversive
19	2	1	hourglass	neutral
461.002	2	1	icecreamcones	aversive
234.994	2	1	kettle	aversive
0	2	1	kiwifruit	aversive
414	2	1	lamp	aversive
543.003	2	1	lemon	aversive
616.001	2	1	lightbulb	neutral
423.002	2	1	lock	aversive
246.997	2	1	loster	neutral
435.006	2	1	motorcycle	neutral
8.008	2	1	nailpolish	aversive
98	2	1	necktie	neutral
284.997	2	1	orifan	aversive
147.008	2	1	paintbrush	aversive
392.994	2	1	pen	aversive
120.995	2	1	pipe	aversive
174.016	2	1	printer	aversive
68.008	2	1	rollingpin	neutral
129.003	2	1	rubberduck	neutral
505.998	2	1	scale	neutral
523.008	2	1	shirt	aversive
534.995	2	1	shoe	neutral
362.007	2	1	sofa	neutral
483.003	2	1	stapler	aversive
688.999	2	1	starfish	neutral
30.009	2	1	strawberry	aversive
205.002	2	1	tent	aversive
275.994	2	1	tire	neutral
372.005	2	1	washer	neutral
316	2	1	watergun	aversive
155.994	2	1	watermelon	neutral
