onset	duration	weight	object	emotion
544.014	2	1	abacus	neutral
130.014	2	1	babyplayard	aversive
576.029	2	1	banana	aversive
683.014	2	1	bed	aversive
213.01	2	1	bench	neutral
203.013	2	1	bike	neutral
169.125	2	1	binoculars	neutral
192.004	2	1	boppypillow	aversive
671.127	2	1	bowl	aversive
490.032	2	1	bowlingpin	aversive
40.006	2	1	bowtie	neutral
0	2	1	bucket	neutral
61.012	2	1	butterfly	neutral
120.017	2	1	button	neutral
88.019	2	1	ceilingfan	aversive
287.003	2	1	cherry	aversive
314.01	2	1	clownfish	aversive
21.039	2	1	coconut	aversive
31.003	2	1	compass	neutral
356.006	2	1	computermouse	neutral
659.007	2	1	cookingpan	neutral
473.005	2	1	cookpot	neutral
612.005	2	1	crab	aversive
693.011	2	1	crown	neutral
333.01	2	1	cupsaucer	neutral
502.035	2	1	dolphin	neutral
345.014	2	1	dragonfly	neutral
524.136	2	1	durian	neutral
604.031	2	1	fan	aversive
138.005	2	1	flashlight	neutral
304.013	2	1	fork	aversive
482.024	2	1	gecko	neutral
400.007	2	1	glasses	neutral
230.998	2	1	glove	aversive
412.01	2	1	grape	neutral
180.034	2	1	guitar	neutral
642.461	2	1	hairbrush	aversive
368.009	2	1	hairdryer	neutral
446.014	2	1	handmirror	aversive
72.02	2	1	hat	aversive
50.119	2	1	headband	aversive
267.008	2	1	hourglass	neutral
651.016	2	1	icecreamcones	aversive
80.459	2	1	kettle	aversive
221.001	2	1	kiwifruit	neutral
595.012	2	1	lamp	neutral
247.014	2	1	lemon	neutral
389.131	2	1	lightbulb	aversive
585.014	2	1	lock	aversive
512	2	1	loster	aversive
158.017	2	1	motorcycle	aversive
259.017	2	1	nailpolish	aversive
624.009	2	1	necktie	neutral
632	2	1	orifan	aversive
108.014	2	1	paintbrush	aversive
296.039	2	1	pen	aversive
424.014	2	1	pipe	neutral
279.012	2	1	printer	aversive
533.005	2	1	rollingpin	neutral
11.042	2	1	rubberduck	neutral
436.465	2	1	scale	aversive
239.023	2	1	shirt	aversive
555.039	2	1	shoe	neutral
702.014	2	1	sofa	neutral
147.456	2	1	stapler	neutral
464.019	2	1	starfish	aversive
711.464	2	1	strawberry	neutral
97.005	2	1	tent	aversive
566.015	2	1	tire	aversive
378.023	2	1	washer	neutral
324.024	2	1	watergun	aversive
456.028	2	1	watermelon	aversive
