onset	duration	weight	object	emotion
192.999	2	1	abacus	neutral
483.998	2	1	babyplayard	aversive
351.994	2	1	banana	aversive
51.993	2	1	bed	neutral
70.993	2	1	bench	aversive
161.001	2	1	bike	aversive
604.993	2	1	binoculars	neutral
464.003	2	1	boppypillow	aversive
344.003	2	1	bowl	aversive
119.006	2	1	bowlingpin	neutral
171.993	2	1	bowtie	neutral
25.002	2	1	bucket	aversive
334.005	2	1	butterfly	neutral
708.995	2	1	button	aversive
128.009	2	1	ceilingfan	aversive
689	2	1	cherry	aversive
401.002	2	1	clownfish	aversive
0	2	1	coconut	aversive
653.006	2	1	compass	aversive
423.003	2	1	computermouse	neutral
275	2	1	cookingpan	aversive
233.005	2	1	cookpot	aversive
664.993	2	1	crab	neutral
373	2	1	crown	aversive
60.001	2	1	cupsaucer	aversive
615.007	2	1	dolphin	neutral
411.994	2	1	dragonfly	neutral
97.005	2	1	durian	aversive
243.997	2	1	fan	aversive
221.001	2	1	flashlight	aversive
559.002	2	1	fork	aversive
81.006	2	1	gecko	neutral
16.994	2	1	glasses	aversive
381.008	2	1	glove	aversive
211.999	2	1	grape	neutral
256	2	1	guitar	neutral
493.995	2	1	hairbrush	neutral
503.992	2	1	hairdryer	aversive
44.002	2	1	handmirror	aversive
304.992	2	1	hat	aversive
88.998	2	1	headband	aversive
512.995	2	1	hourglass	neutral
363.003	2	1	icecreamcones	neutral
676.997	2	1	kettle	neutral
700.009	2	1	kiwifruit	neutral
433.995	2	1	lamp	neutral
632.995	2	1	lemon	neutral
641.003	2	1	lightbulb	neutral
108.992	2	1	lock	neutral
550.994	2	1	loster	aversive
392	2	1	motorcycle	neutral
316.995	2	1	nailpolish	neutral
474.995	2	1	necktie	aversive
139.995	2	1	orifan	neutral
150.009	2	1	paintbrush	neutral
625.004	2	1	pen	neutral
541.992	2	1	pipe	neutral
593.006	2	1	printer	neutral
9.003	2	1	rollingpin	aversive
284.997	2	1	rubberduck	neutral
202.996	2	1	scale	aversive
34.999	2	1	shirt	neutral
569	2	1	shoe	neutral
183.002	2	1	sofa	aversive
581.003	2	1	stapler	neutral
533.006	2	1	starfish	neutral
524.998	2	1	strawberry	neutral
454.006	2	1	tent	aversive
297.001	2	1	tire	aversive
445.003	2	1	washer	neutral
265.998	2	1	watergun	aversive
325.998	2	1	watermelon	aversive
