onset	duration	weight	object	emotion
403.008	2	1	abacus	neutral
464.003	2	1	babyplayard	aversive
628.005	2	1	banana	aversive
160.007	2	1	bed	neutral
245.008	2	1	bench	neutral
499.002	2	1	bike	aversive
392	2	1	binoculars	neutral
208.998	2	1	boppypillow	aversive
99.011	2	1	bowl	aversive
508.999	2	1	bowlingpin	neutral
189.004	2	1	bowtie	aversive
384.008	2	1	bucket	aversive
177	2	1	butterfly	neutral
313	2	1	button	neutral
355.011	2	1	ceilingfan	aversive
347.004	2	1	cherry	aversive
40.006	2	1	clownfish	neutral
150.009	2	1	coconut	aversive
375.006	2	1	compass	aversive
305.008	2	1	computermouse	neutral
198.006	2	1	cookingpan	neutral
551.011	2	1	cookpot	neutral
570.011	2	1	crab	neutral
620.014	2	1	crown	neutral
560.013	2	1	cupsaucer	aversive
138.006	2	1	dolphin	aversive
707.999	2	1	dragonfly	neutral
581.019	2	1	durian	aversive
8.008	2	1	fan	aversive
118.011	2	1	flashlight	neutral
638.002	2	1	fork	aversive
19	2	1	gecko	neutral
696.013	2	1	glasses	neutral
530.005	2	1	glove	neutral
287.003	2	1	grape	aversive
443.014	2	1	guitar	neutral
422.008	2	1	hairbrush	neutral
255.005	2	1	hairdryer	neutral
364.014	2	1	handmirror	neutral
476.006	2	1	hat	neutral
79	2	1	headband	aversive
663.998	2	1	hourglass	aversive
610	2	1	icecreamcones	aversive
0	2	1	kettle	neutral
129.003	2	1	kiwifruit	neutral
598.013	2	1	lamp	neutral
540.997	2	1	lemon	neutral
656.007	2	1	lightbulb	aversive
88.003	2	1	lock	neutral
454.006	2	1	loster	neutral
296.006	2	1	motorcycle	aversive
647.999	2	1	nailpolish	neutral
108.014	2	1	necktie	aversive
67.014	2	1	orifan	neutral
168.014	2	1	paintbrush	neutral
431.01	2	1	pen	aversive
589.01	2	1	pipe	neutral
275.017	2	1	printer	aversive
229.009	2	1	rollingpin	aversive
219.012	2	1	rubberduck	aversive
521.002	2	1	scale	neutral
237	2	1	shirt	aversive
488.01	2	1	shoe	aversive
48.014	2	1	sofa	aversive
336.011	2	1	stapler	neutral
30.009	2	1	starfish	neutral
58.011	2	1	strawberry	aversive
324.008	2	1	tent	aversive
410.999	2	1	tire	aversive
684.009	2	1	washer	aversive
676.002	2	1	watergun	aversive
265.003	2	1	watermelon	aversive
