onset	duration	weight	type	object	emotion
917.209	2	1	voice	abacus	aversive
45.214	2	1	voice	babyplayard	neutral
60.213	2	1	voice	banana	aversive
689.207	2	1	voice	bed	aversive
774.218	2	1	voice	bench	neutral
615.195	2	1	voice	bike	neutral
702.206	2	1	voice	binoculars	neutral
734.137	2	1	voice	boppypillow	neutral
216.186	2	1	voice	bowl	neutral
232.219	2	1	voice	bowlingpin	aversive
892.11	2	1	voice	bowtie	neutral
163.223	2	1	voice	bucket	neutral
805.216	2	1	voice	butterfly	neutral
577.23	2	1	voice	button	neutral
248.218	2	1	voice	ceilingfan	neutral
272.199	2	1	voice	cherry	aversive
381.209	2	1	voice	clownfish	neutral
981.138	2	1	voice	coconut	aversive
905.126	2	1	voice	compass	neutral
147.207	2	1	voice	computermouse	aversive
439.222	2	1	voice	cookingpan	neutral
397.192	2	1	voice	cookpot	aversive
467.204	2	1	voice	crab	aversive
2.334	2	1	voice	crown	aversive
17.182	2	1	voice	cupsaucer	neutral
411.207	2	1	voice	dolphin	aversive
175.222	2	1	voice	dragonfly	aversive
286.199	2	1	voice	durian	neutral
30.215	2	1	voice	fan	aversive
817.199	2	1	voice	flashlight	aversive
203.204	2	1	voice	fork	aversive
510.201	2	1	voice	gecko	neutral
88.211	2	1	voice	glasses	neutral
479.22	2	1	voice	glove	neutral
117.209	2	1	voice	grape	neutral
589.213	2	1	voice	guitar	neutral
929.208	2	1	voice	hairbrush	neutral
102.21	2	1	voice	hairdryer	aversive
861.179	2	1	voice	handmirror	neutral
646.209	2	1	voice	hat	aversive
790.2	2	1	voice	headband	aversive
602.195	2	1	voice	hourglass	aversive
537.216	2	1	voice	icecreamcones	neutral
189.205	2	1	voice	kettle	neutral
832.214	2	1	voice	kiwifruit	neutral
260.2	2	1	voice	lamp	aversive
760.252	2	1	voice	lemon	neutral
356.211	2	1	voice	lightbulb	neutral
425.223	2	1	voice	lock	neutral
748.22	2	1	voice	loster	aversive
331.212	2	1	voice	motorcycle	aversive
564.198	2	1	voice	nailpolish	aversive
524.217	2	1	voice	necktie	aversive
660.225	2	1	voice	orifan	neutral
302.214	2	1	voice	paintbrush	aversive
956.206	2	1	voice	pen	neutral
847.213	2	1	voice	pipe	aversive
877.211	2	1	voice	printer	aversive
551.199	2	1	voice	rollingpin	aversive
133.125	2	1	voice	rubberduck	neutral
494.202	2	1	voice	scale	aversive
969.206	2	1	voice	shirt	neutral
996.221	2	1	voice	shoe	aversive
73.195	2	1	voice	sofa	aversive
451.238	2	1	voice	stapler	aversive
344.212	2	1	voice	starfish	neutral
368.193	2	1	voice	strawberry	aversive
941.207	2	1	voice	tent	aversive
630.21	2	1	voice	tire	aversive
676.324	2	1	voice	washer	neutral
317.23	2	1	voice	watergun	neutral
718.221	2	1	voice	watermelon	aversive
915.009	2	1	face	abacus	aversive
43.014	2	1	face	babyplayard	neutral
58.013	2	1	face	banana	aversive
687.007	2	1	face	bed	aversive
772.001	2	1	face	bench	neutral
613.011	2	1	face	bike	neutral
700.006	2	1	face	binoculars	neutral
732.004	2	1	face	boppypillow	neutral
214.003	2	1	face	bowl	neutral
230.002	2	1	face	bowlingpin	aversive
889.994	2	1	face	bowtie	neutral
161.006	2	1	face	bucket	neutral
802.999	2	1	face	butterfly	neutral
574.997	2	1	face	button	neutral
246.001	2	1	face	ceilingfan	neutral
269.999	2	1	face	cherry	aversive
379.009	2	1	face	clownfish	neutral
979.005	2	1	face	coconut	aversive
903.01	2	1	face	compass	neutral
145.007	2	1	face	computermouse	aversive
437.006	2	1	face	cookingpan	neutral
395.008	2	1	face	cookpot	aversive
465.004	2	1	face	crab	aversive
0	2	1	face	crown	aversive
14.999	2	1	face	cupsaucer	neutral
409.007	2	1	face	dolphin	aversive
173.006	2	1	face	dragonfly	aversive
283.999	2	1	face	durian	neutral
28.015	2	1	face	fan	aversive
814.999	2	1	face	flashlight	aversive
201.004	2	1	face	fork	aversive
508.001	2	1	face	gecko	neutral
86.011	2	1	face	glasses	neutral
477.003	2	1	face	glove	neutral
115.009	2	1	face	grape	neutral
587.013	2	1	face	guitar	neutral
927.008	2	1	face	hairbrush	neutral
100.01	2	1	face	hairdryer	aversive
859.013	2	1	face	handmirror	neutral
644.009	2	1	face	hat	aversive
788	2	1	face	headband	aversive
600.012	2	1	face	hourglass	aversive
535	2	1	face	icecreamcones	neutral
187.005	2	1	face	kettle	neutral
829.998	2	1	face	kiwifruit	neutral
258	2	1	face	lamp	aversive
758.002	2	1	face	lemon	neutral
354.011	2	1	face	lightbulb	neutral
423.007	2	1	face	lock	neutral
746.003	2	1	face	loster	aversive
329.012	2	1	face	motorcycle	aversive
561.998	2	1	face	nailpolish	aversive
522	2	1	face	necktie	aversive
658.009	2	1	face	orifan	neutral
299.998	2	1	face	paintbrush	aversive
954.007	2	1	face	pen	neutral
844.997	2	1	face	pipe	aversive
875.012	2	1	face	printer	aversive
548.999	2	1	face	rollingpin	aversive
131.008	2	1	face	rubberduck	neutral
492.002	2	1	face	scale	aversive
967.006	2	1	face	shirt	neutral
994.004	2	1	face	shoe	aversive
71.012	2	1	face	sofa	aversive
449.005	2	1	face	stapler	aversive
342.012	2	1	face	starfish	neutral
366.01	2	1	face	strawberry	aversive
939.008	2	1	face	tent	aversive
628.01	2	1	face	tire	aversive
674.008	2	1	face	washer	neutral
315.013	2	1	face	watergun	neutral
716.005	2	1	face	watermelon	aversive
