onset	duration	weight	object	emotion
376.017	2	1	abacus	aversive
40.006	2	1	babyplayard	neutral
321.024	2	1	banana	aversive
161.018	2	1	bed	aversive
712.011	2	1	bench	neutral
101.017	2	1	bike	neutral
662.008	2	1	binoculars	neutral
226.008	2	1	boppypillow	neutral
609.005	2	1	bowl	neutral
0	2	1	bowlingpin	aversive
559.018	2	1	bowtie	neutral
88.997	2	1	bucket	neutral
463.008	2	1	butterfly	neutral
355.011	2	1	button	neutral
503.014	2	1	ceilingfan	neutral
451.005	2	1	cherry	aversive
246.019	2	1	clownfish	neutral
9.003	2	1	coconut	aversive
208.998	2	1	compass	neutral
693.012	2	1	computermouse	aversive
401.997	2	1	cookingpan	neutral
302.007	2	1	cookpot	aversive
533.006	2	1	crab	aversive
482.008	2	1	crown	aversive
281.001	2	1	cupsaucer	neutral
142.001	2	1	dolphin	aversive
591.016	2	1	dragonfly	aversive
423.002	2	1	durian	neutral
309.998	2	1	fan	aversive
470.999	2	1	flashlight	aversive
77.011	2	1	fork	aversive
673.05	2	1	gecko	neutral
343.008	2	1	glasses	neutral
188.009	2	1	glove	neutral
414.016	2	1	grape	neutral
599.024	2	1	guitar	neutral
236.005	2	1	hairbrush	neutral
123.018	2	1	hairdryer	aversive
291.015	2	1	handmirror	neutral
551.011	2	1	hat	aversive
111.015	2	1	headband	aversive
681.008	2	1	hourglass	aversive
268.998	2	1	icecreamcones	neutral
68.025	2	1	kettle	neutral
571.022	2	1	kiwifruit	neutral
50.02	2	1	lamp	aversive
653.006	2	1	lemon	neutral
394.005	2	1	lightbulb	neutral
218.017	2	1	lock	neutral
366.003	2	1	loster	aversive
17.01	2	1	motorcycle	aversive
134.01	2	1	nailpolish	aversive
432.005	2	1	necktie	aversive
621.025	2	1	orifan	neutral
384.008	2	1	paintbrush	aversive
631.005	2	1	pen	neutral
151.998	2	1	pipe	aversive
524.02	2	1	printer	aversive
198.006	2	1	rollingpin	aversive
59.006	2	1	rubberduck	neutral
643.009	2	1	scale	aversive
582.014	2	1	shirt	neutral
331.999	2	1	shoe	aversive
170.003	2	1	sofa	aversive
442.997	2	1	stapler	aversive
701.998	2	1	starfish	neutral
515.017	2	1	strawberry	aversive
258.006	2	1	tent	aversive
28.019	2	1	tire	aversive
178.011	2	1	washer	neutral
540.997	2	1	watergun	neutral
493	2	1	watermelon	aversive
