onset	duration	weight	type	object	emotion
100.194	2	1	voice	abacus	neutral
726.188	2	1	voice	babyplayard	neutral
461.188	2	1	voice	banana	aversive
558.198	2	1	voice	bed	neutral
880.195	2	1	voice	bench	neutral
500.202	2	1	voice	bike	aversive
294.215	2	1	voice	binoculars	aversive
321.197	2	1	voice	boppypillow	neutral
32.198	2	1	voice	bowl	neutral
58.197	2	1	voice	bowlingpin	neutral
644.21	2	1	voice	bowtie	aversive
113.193	2	1	voice	bucket	aversive
17.266	2	1	voice	butterfly	aversive
403.192	2	1	voice	button	aversive
629.194	2	1	voice	ceilingfan	neutral
839.197	2	1	voice	cherry	neutral
586.18	2	1	voice	clownfish	neutral
156.224	2	1	voice	coconut	aversive
282.199	2	1	voice	compass	neutral
965.19	2	1	voice	computermouse	aversive
2.386	2	1	voice	cookingpan	aversive
923.192	2	1	voice	cookpot	neutral
488.186	2	1	voice	crab	neutral
362.211	2	1	voice	crown	neutral
868.196	2	1	voice	cupsaucer	neutral
415.191	2	1	voice	dolphin	neutral
600.196	2	1	voice	dragonfly	aversive
616.195	2	1	voice	durian	neutral
245.201	2	1	voice	fan	aversive
391.192	2	1	voice	flashlight	neutral
769.202	2	1	voice	fork	aversive
172.189	2	1	voice	gecko	aversive
783.201	2	1	voice	glasses	neutral
893.194	2	1	voice	glove	aversive
333.196	2	1	voice	grape	aversive
188.188	2	1	voice	guitar	neutral
216.187	2	1	voice	hairbrush	neutral
683.191	2	1	voice	hairdryer	neutral
696.19	2	1	voice	handmirror	aversive
376.193	2	1	voice	hat	aversive
573.148	2	1	voice	headband	aversive
527.2	2	1	voice	hourglass	neutral
270.2	2	1	voice	icecreamcones	aversive
71.196	2	1	voice	kettle	aversive
939.191	2	1	voice	kiwifruit	aversive
543.183	2	1	voice	lamp	aversive
306.198	2	1	voice	lemon	aversive
143.191	2	1	voice	lightbulb	neutral
84.228	2	1	voice	lock	aversive
909.193	2	1	voice	loster	neutral
756.203	2	1	voice	motorcycle	neutral
446.206	2	1	voice	nailpolish	aversive
431.206	2	1	voice	necktie	neutral
230.202	2	1	voice	orifan	aversive
742.187	2	1	voice	paintbrush	aversive
854.213	2	1	voice	pen	aversive
669.192	2	1	voice	pipe	aversive
127.192	2	1	voice	printer	aversive
258.184	2	1	voice	rollingpin	neutral
712.205	2	1	voice	rubberduck	neutral
951.19	2	1	voice	scale	neutral
994.188	2	1	voice	shirt	aversive
512.201	2	1	voice	shoe	neutral
978.189	2	1	voice	sofa	neutral
202.204	2	1	voice	stapler	aversive
473.187	2	1	voice	starfish	neutral
797.2	2	1	voice	strawberry	aversive
45.197	2	1	voice	tent	aversive
811.183	2	1	voice	tire	neutral
656.192	2	1	voice	washer	neutral
827.198	2	1	voice	watergun	aversive
348.212	2	1	voice	watermelon	neutral
97.994	2	1	face	abacus	neutral
723.988	2	1	face	babyplayard	neutral
458.988	2	1	face	banana	aversive
555.999	2	1	face	bed	neutral
877.995	2	1	face	bench	neutral
498.002	2	1	face	bike	aversive
291.999	2	1	face	binoculars	aversive
318.997	2	1	face	boppypillow	neutral
29.998	2	1	face	bowl	neutral
55.997	2	1	face	bowlingpin	neutral
641.993	2	1	face	bowtie	aversive
110.993	2	1	face	bucket	aversive
14.999	2	1	face	butterfly	aversive
400.992	2	1	face	button	aversive
626.994	2	1	face	ceilingfan	neutral
836.998	2	1	face	cherry	neutral
583.997	2	1	face	clownfish	neutral
153.99	2	1	face	coconut	aversive
279.999	2	1	face	compass	neutral
962.99	2	1	face	computermouse	aversive
0	2	1	face	cookingpan	aversive
920.992	2	1	face	cookpot	neutral
486.003	2	1	face	crab	neutral
359.994	2	1	face	crown	neutral
865.996	2	1	face	cupsaucer	neutral
412.991	2	1	face	dolphin	neutral
597.996	2	1	face	dragonfly	aversive
613.995	2	1	face	durian	neutral
242.985	2	1	face	fan	aversive
388.992	2	1	face	flashlight	neutral
767.002	2	1	face	fork	aversive
169.989	2	1	face	gecko	aversive
781.001	2	1	face	glasses	neutral
890.994	2	1	face	glove	aversive
330.996	2	1	face	grape	aversive
185.988	2	1	face	guitar	neutral
213.987	2	1	face	hairbrush	neutral
680.991	2	1	face	hairdryer	neutral
693.99	2	1	face	handmirror	aversive
373.993	2	1	face	hat	aversive
570.998	2	1	face	headband	aversive
525.001	2	1	face	hourglass	neutral
268	2	1	face	icecreamcones	aversive
68.996	2	1	face	kettle	aversive
936.991	2	1	face	kiwifruit	aversive
541	2	1	face	lamp	aversive
303.998	2	1	face	lemon	aversive
140.991	2	1	face	lightbulb	neutral
81.995	2	1	face	lock	aversive
906.993	2	1	face	loster	neutral
754.003	2	1	face	motorcycle	neutral
443.989	2	1	face	nailpolish	aversive
428.99	2	1	face	necktie	neutral
228.003	2	1	face	orifan	aversive
739.987	2	1	face	paintbrush	aversive
851.997	2	1	face	pen	aversive
666.992	2	1	face	pipe	aversive
124.992	2	1	face	printer	aversive
256.001	2	1	face	rollingpin	neutral
709.989	2	1	face	rubberduck	neutral
948.991	2	1	face	scale	neutral
991.988	2	1	face	shirt	aversive
510.001	2	1	face	shoe	neutral
975.989	2	1	face	sofa	neutral
199.988	2	1	face	stapler	aversive
470.987	2	1	face	starfish	neutral
795	2	1	face	strawberry	aversive
42.997	2	1	face	tent	aversive
808.999	2	1	face	tire	neutral
653.992	2	1	face	washer	neutral
824.998	2	1	face	watergun	aversive
345.995	2	1	face	watermelon	neutral
