onset	duration	weight	object	emotion
448.021	2	1	abacus	neutral
624.026	2	1	babyplayard	neutral
170.12	2	1	banana	aversive
140.128	2	1	bed	neutral
612.006	2	1	bench	neutral
540.997	2	1	bike	aversive
206.461	2	1	binoculars	aversive
216.028	2	1	boppypillow	neutral
459.013	2	1	bowl	neutral
582.014	2	1	bowlingpin	neutral
652.011	2	1	bowtie	aversive
680.014	2	1	bucket	aversive
487.032	2	1	butterfly	aversive
423.036	2	1	button	aversive
701.003	2	1	ceilingfan	neutral
643.042	2	1	cherry	neutral
289.026	2	1	clownfish	neutral
593.039	2	1	coconut	aversive
520.041	2	1	compass	neutral
392.033	2	1	computermouse	aversive
369.004	2	1	cookingpan	aversive
603.02	2	1	cookpot	neutral
148.998	2	1	crab	neutral
161.134	2	1	crown	neutral
187.13	2	1	cupsaucer	neutral
32.031	2	1	dolphin	neutral
508.004	2	1	dragonfly	aversive
632.033	2	1	durian	neutral
224.019	2	1	fan	aversive
258.122	2	1	flashlight	neutral
268.004	2	1	fork	aversive
129.998	2	1	gecko	aversive
330.01	2	1	glasses	neutral
660.997	2	1	glove	aversive
431.044	2	1	grape	aversive
530.022	2	1	guitar	neutral
439.002	2	1	hairbrush	neutral
551.011	2	1	hairdryer	neutral
467.004	2	1	handmirror	aversive
196	2	1	hat	aversive
357.001	2	1	headband	aversive
73.032	2	1	hourglass	neutral
0	2	1	icecreamcones	aversive
692.034	2	1	kettle	aversive
43.023	2	1	kiwifruit	aversive
65.455	2	1	lamp	aversive
309.004	2	1	lemon	aversive
560.013	2	1	lightbulb	neutral
235.011	2	1	lock	aversive
297.034	2	1	loster	neutral
412.027	2	1	motorcycle	neutral
179.039	2	1	nailpolish	aversive
479.024	2	1	necktie	neutral
12.004	2	1	orifan	aversive
712.028	2	1	paintbrush	aversive
246.003	2	1	pen	aversive
402.03	2	1	pipe	aversive
83.013	2	1	printer	aversive
347.998	2	1	rollingpin	neutral
93.01	2	1	rubberduck	neutral
338.001	2	1	scale	neutral
569.994	2	1	shirt	aversive
53.999	2	1	shoe	neutral
20.012	2	1	sofa	neutral
113.004	2	1	stapler	aversive
496.034	2	1	starfish	neutral
381.007	2	1	strawberry	aversive
122.007	2	1	tent	aversive
279.46	2	1	tire	neutral
319.001	2	1	washer	neutral
670.05	2	1	watergun	aversive
105.03	2	1	watermelon	neutral
