onset	duration	weight	type	object	emotion
655.205	2	1	voice	abacus	aversive
578.215	2	1	voice	babyplayard	aversive
168.203	2	1	voice	banana	aversive
592.189	2	1	voice	bed	neutral
982.207	2	1	voice	bench	aversive
405.192	2	1	voice	bike	neutral
639.197	2	1	voice	binoculars	neutral
520.202	2	1	voice	boppypillow	neutral
830.195	2	1	voice	bowl	aversive
267.205	2	1	voice	bowlingpin	neutral
550.201	2	1	voice	bowtie	aversive
420.2	2	1	voice	bucket	neutral
788.19	2	1	voice	butterfly	neutral
888.192	2	1	voice	button	aversive
994.213	2	1	voice	ceilingfan	neutral
85.194	2	1	voice	cherry	neutral
184.195	2	1	voice	clownfish	neutral
931.197	2	1	voice	coconut	aversive
138.188	2	1	voice	compass	neutral
565.208	2	1	voice	computermouse	neutral
71.203	2	1	voice	cookingpan	aversive
334.206	2	1	voice	cookpot	aversive
842.201	2	1	voice	crab	neutral
253.197	2	1	voice	crown	neutral
858.21	2	1	voice	cupsaucer	aversive
802.197	2	1	voice	dolphin	aversive
29.198	2	1	voice	dragonfly	aversive
16.308	2	1	voice	durian	neutral
955.193	2	1	voice	fan	aversive
377.211	2	1	voice	flashlight	neutral
304.207	2	1	voice	fork	aversive
874.184	2	1	voice	gecko	neutral
918.207	2	1	voice	glasses	aversive
943.203	2	1	voice	glove	neutral
721.239	2	1	voice	grape	aversive
759.208	2	1	voice	guitar	neutral
536.21	2	1	voice	hairbrush	neutral
607.197	2	1	voice	hairdryer	aversive
126.198	2	1	voice	handmirror	aversive
292.217	2	1	voice	hat	neutral
2.336	2	1	voice	headband	aversive
693.208	2	1	voice	hourglass	aversive
734.196	2	1	voice	icecreamcones	aversive
280.211	2	1	voice	kettle	aversive
489.202	2	1	voice	kiwifruit	aversive
475.245	2	1	voice	lamp	neutral
681.202	2	1	voice	lemon	aversive
349.197	2	1	voice	lightbulb	neutral
705.197	2	1	voice	lock	neutral
773.182	2	1	voice	loster	aversive
238.206	2	1	voice	motorcycle	aversive
668.195	2	1	voice	nailpolish	neutral
99.201	2	1	voice	necktie	aversive
223.198	2	1	voice	orifan	neutral
623.205	2	1	voice	paintbrush	neutral
902.199	2	1	voice	pen	neutral
154.213	2	1	voice	pipe	aversive
319.198	2	1	voice	printer	neutral
364.205	2	1	voice	rollingpin	aversive
393.186	2	1	voice	rubberduck	aversive
504.21	2	1	voice	scale	aversive
968.2	2	1	voice	shirt	neutral
815.204	2	1	voice	shoe	neutral
114.209	2	1	voice	sofa	neutral
747.202	2	1	voice	stapler	neutral
57.196	2	1	voice	starfish	aversive
462.205	2	1	voice	strawberry	neutral
211.209	2	1	voice	tent	neutral
435.225	2	1	voice	tire	aversive
197.202	2	1	voice	washer	aversive
449.198	2	1	voice	watergun	aversive
41.188	2	1	voice	watermelon	neutral
653.004	2	1	face	abacus	aversive
575.997	2	1	face	babyplayard	aversive
166.002	2	1	face	banana	aversive
590.004	2	1	face	bed	neutral
980.006	2	1	face	bench	aversive
402.991	2	1	face	bike	neutral
636.995	2	1	face	binoculars	neutral
518.001	2	1	face	boppypillow	neutral
827.994	2	1	face	bowl	aversive
265.003	2	1	face	bowlingpin	neutral
547.999	2	1	face	bowtie	aversive
417.999	2	1	face	bucket	neutral
786.006	2	1	face	butterfly	neutral
885.991	2	1	face	button	aversive
991.995	2	1	face	ceilingfan	neutral
82.993	2	1	face	cherry	neutral
181.994	2	1	face	clownfish	neutral
928.996	2	1	face	coconut	aversive
136.003	2	1	face	compass	neutral
562.991	2	1	face	computermouse	neutral
69.002	2	1	face	cookingpan	aversive
332.005	2	1	face	cookpot	aversive
840	2	1	face	crab	neutral
250.996	2	1	face	crown	neutral
855.992	2	1	face	cupsaucer	aversive
799.996	2	1	face	dolphin	aversive
26.997	2	1	face	dragonfly	aversive
14.007	2	1	face	durian	neutral
952.992	2	1	face	fan	aversive
374.993	2	1	face	flashlight	neutral
302.006	2	1	face	fork	aversive
872	2	1	face	gecko	neutral
916.006	2	1	face	glasses	aversive
941.002	2	1	face	glove	neutral
719.004	2	1	face	grape	aversive
756.991	2	1	face	guitar	neutral
533.992	2	1	face	hairbrush	neutral
604.996	2	1	face	hairdryer	aversive
123.997	2	1	face	handmirror	aversive
290	2	1	face	hat	neutral
0	2	1	face	headband	aversive
690.99	2	1	face	hourglass	aversive
731.994	2	1	face	icecreamcones	aversive
277.993	2	1	face	kettle	aversive
487.001	2	1	face	kiwifruit	aversive
472.994	2	1	face	lamp	neutral
679	2	1	face	lemon	aversive
346.996	2	1	face	lightbulb	neutral
702.996	2	1	face	lock	neutral
770.998	2	1	face	loster	aversive
236.005	2	1	face	motorcycle	aversive
665.994	2	1	face	nailpolish	neutral
97	2	1	face	necktie	aversive
220.997	2	1	face	orifan	neutral
621.004	2	1	face	paintbrush	neutral
899.998	2	1	face	pen	neutral
151.995	2	1	face	pipe	aversive
316.997	2	1	face	printer	neutral
362.003	2	1	face	rollingpin	aversive
391.002	2	1	face	rubberduck	aversive
501.992	2	1	face	scale	aversive
965.999	2	1	face	shirt	neutral
813.003	2	1	face	shoe	neutral
111.991	2	1	face	sofa	neutral
745.001	2	1	face	stapler	neutral
54.995	2	1	face	starfish	aversive
460.004	2	1	face	strawberry	neutral
208.991	2	1	face	tent	neutral
433.007	2	1	face	tire	aversive
195.001	2	1	face	washer	aversive
446.997	2	1	face	watergun	aversive
39.003	2	1	face	watermelon	neutral
