onset	duration	weight	object	emotion
511.999	2	1	abacus	neutral
293.021	2	1	babyplayard	neutral
158	2	1	banana	aversive
360.001	2	1	bed	aversive
247.992	2	1	bench	aversive
429.004	2	1	bike	neutral
281.996	2	1	binoculars	neutral
650.021	2	1	boppypillow	neutral
88.002	2	1	bowl	aversive
488.109	2	1	bowlingpin	aversive
328.003	2	1	bowtie	aversive
673	2	1	bucket	neutral
401.449	2	1	butterfly	aversive
113.004	2	1	button	neutral
317.028	2	1	ceilingfan	neutral
467.119	2	1	cherry	aversive
96.043	2	1	clownfish	neutral
459.029	2	1	coconut	neutral
371.01	2	1	compass	neutral
700.024	2	1	computermouse	neutral
78.005	2	1	cookingpan	aversive
149.014	2	1	cookpot	neutral
411.993	2	1	crab	aversive
711	2	1	crown	neutral
205.997	2	1	cupsaucer	neutral
642.014	2	1	dolphin	neutral
31.119	2	1	dragonfly	aversive
0	2	1	durian	aversive
581.019	2	1	fan	neutral
305.008	2	1	flashlight	aversive
105.046	2	1	fork	neutral
185.007	2	1	gecko	aversive
682.003	2	1	glasses	aversive
239.022	2	1	glove	aversive
167.035	2	1	grape	neutral
521.018	2	1	guitar	aversive
176.005	2	1	hairbrush	neutral
630.126	2	1	hairdryer	aversive
50.45	2	1	handmirror	neutral
619.996	2	1	hat	aversive
500.029	2	1	headband	aversive
439.001	2	1	hourglass	neutral
218	2	1	icecreamcones	neutral
272.015	2	1	kettle	neutral
18.999	2	1	kiwifruit	neutral
338.448	2	1	lamp	neutral
553	2	1	lemon	neutral
533.022	2	1	lightbulb	neutral
69.997	2	1	lock	aversive
660.997	2	1	loster	aversive
133.446	2	1	motorcycle	aversive
689.994	2	1	nailpolish	aversive
195.004	2	1	necktie	aversive
610.132	2	1	orifan	aversive
591.016	2	1	paintbrush	neutral
62.022	2	1	pen	neutral
228.113	2	1	pipe	neutral
544.014	2	1	printer	neutral
141.023	2	1	rollingpin	aversive
391.004	2	1	rubberduck	aversive
41	2	1	scale	neutral
350.435	2	1	shirt	aversive
602.025	2	1	shoe	aversive
477.001	2	1	sofa	aversive
561.107	2	1	stapler	neutral
449.015	2	1	starfish	aversive
8.455	2	1	strawberry	aversive
259.995	2	1	tent	aversive
379.996	2	1	tire	neutral
420.432	2	1	washer	neutral
122.006	2	1	watergun	aversive
569.032	2	1	watermelon	aversive
