onset	duration	weight	type	object	emotion
818.199	2	1	voice	abacus	neutral
230.202	2	1	voice	babyplayard	neutral
745.204	2	1	voice	banana	neutral
446.222	2	1	voice	bed	neutral
262.217	2	1	voice	bench	aversive
3.134	2	1	voice	bike	neutral
874.162	2	1	voice	binoculars	aversive
319.197	2	1	voice	boppypillow	aversive
929.175	2	1	voice	bowl	aversive
685.141	2	1	voice	bowlingpin	neutral
569.198	2	1	voice	bowtie	aversive
806.216	2	1	voice	bucket	aversive
14.199	2	1	voice	butterfly	neutral
278.166	2	1	voice	button	neutral
541.2	2	1	voice	ceilingfan	neutral
462.188	2	1	voice	cherry	neutral
733.138	2	1	voice	clownfish	aversive
943.141	2	1	voice	coconut	neutral
502.219	2	1	voice	compass	aversive
859.213	2	1	voice	computermouse	neutral
957.19	2	1	voice	cookingpan	aversive
701.14	2	1	voice	cookpot	aversive
832.148	2	1	voice	crab	neutral
122.076	2	1	voice	crown	neutral
515.201	2	1	voice	cupsaucer	neutral
349.195	2	1	voice	dolphin	aversive
669.192	2	1	voice	dragonfly	aversive
175.206	2	1	voice	durian	neutral
217.136	2	1	voice	fan	neutral
554.216	2	1	voice	flashlight	aversive
610.112	2	1	voice	fork	aversive
790.201	2	1	voice	gecko	neutral
80.195	2	1	voice	glasses	neutral
109.21	2	1	voice	glove	aversive
188.138	2	1	voice	grape	aversive
598.213	2	1	voice	guitar	neutral
26.248	2	1	voice	hairbrush	aversive
434.123	2	1	voice	hairdryer	aversive
529.2	2	1	voice	handmirror	aversive
985.205	2	1	voice	hat	neutral
642.21	2	1	voice	headband	neutral
66.229	2	1	voice	hourglass	aversive
490.203	2	1	voice	icecreamcones	neutral
163.24	2	1	voice	kettle	neutral
334.196	2	1	voice	kiwifruit	neutral
420.09	2	1	voice	lamp	neutral
363.194	2	1	voice	lemon	aversive
717.205	2	1	voice	lightbulb	neutral
655.209	2	1	voice	lock	aversive
305.114	2	1	voice	loster	aversive
776.202	2	1	voice	motorcycle	aversive
844.097	2	1	voice	nailpolish	aversive
95.211	2	1	voice	necktie	aversive
584.23	2	1	voice	orifan	neutral
889.195	2	1	voice	paintbrush	aversive
972.206	2	1	voice	pen	neutral
626.211	2	1	voice	pipe	aversive
148.207	2	1	voice	printer	aversive
998.071	2	1	voice	rollingpin	aversive
41.247	2	1	voice	rubberduck	aversive
377.243	2	1	voice	scale	neutral
407.208	2	1	voice	shirt	aversive
53.213	2	1	voice	shoe	neutral
246.201	2	1	voice	sofa	aversive
293.198	2	1	voice	stapler	neutral
134.225	2	1	voice	starfish	neutral
903.194	2	1	voice	strawberry	neutral
393.142	2	1	voice	tent	aversive
761.086	2	1	voice	tire	neutral
475.204	2	1	voice	washer	aversive
916.126	2	1	voice	watergun	neutral
201.121	2	1	voice	watermelon	aversive
815.999	2	1	face	abacus	neutral
228.002	2	1	face	babyplayard	neutral
743.004	2	1	face	banana	neutral
444.006	2	1	face	bed	neutral
260	2	1	face	bench	aversive
0	2	1	face	bike	neutral
872.012	2	1	face	binoculars	aversive
316.997	2	1	face	boppypillow	aversive
927.009	2	1	face	bowl	aversive
683.007	2	1	face	bowlingpin	neutral
566.998	2	1	face	bowtie	aversive
804	2	1	face	bucket	aversive
11.999	2	1	face	butterfly	neutral
275.999	2	1	face	button	neutral
539	2	1	face	ceilingfan	neutral
460.005	2	1	face	cherry	neutral
731.004	2	1	face	clownfish	aversive
941.008	2	1	face	coconut	neutral
500.002	2	1	face	compass	aversive
856.997	2	1	face	computermouse	neutral
955.007	2	1	face	cookingpan	aversive
699.006	2	1	face	cookpot	aversive
829.998	2	1	face	crab	neutral
119.992	2	1	face	crown	neutral
513.001	2	1	face	cupsaucer	neutral
347.012	2	1	face	dolphin	aversive
666.992	2	1	face	dragonfly	aversive
173.006	2	1	face	durian	neutral
215.003	2	1	face	fan	neutral
551.999	2	1	face	flashlight	aversive
607.995	2	1	face	fork	aversive
788.001	2	1	face	gecko	neutral
77.995	2	1	face	glasses	neutral
107.01	2	1	face	glove	aversive
186.005	2	1	face	grape	aversive
596.013	2	1	face	guitar	neutral
23.998	2	1	face	hairbrush	aversive
432.006	2	1	face	hairdryer	aversive
527.001	2	1	face	handmirror	aversive
983.005	2	1	face	hat	neutral
640.01	2	1	face	headband	neutral
64.013	2	1	face	hourglass	aversive
488.003	2	1	face	icecreamcones	neutral
161.007	2	1	face	kettle	neutral
331.996	2	1	face	kiwifruit	neutral
418.007	2	1	face	lamp	neutral
361.011	2	1	face	lemon	aversive
715.005	2	1	face	lightbulb	neutral
653.009	2	1	face	lock	aversive
302.998	2	1	face	loster	aversive
774.002	2	1	face	motorcycle	aversive
841.998	2	1	face	nailpolish	aversive
93.011	2	1	face	necktie	aversive
581.997	2	1	face	orifan	neutral
886.995	2	1	face	paintbrush	aversive
970.006	2	1	face	pen	neutral
624.011	2	1	face	pipe	aversive
146.008	2	1	face	printer	aversive
996.005	2	1	face	rollingpin	aversive
38.998	2	1	face	rubberduck	aversive
375.01	2	1	face	scale	neutral
405.008	2	1	face	shirt	aversive
51.013	2	1	face	shoe	neutral
244.001	2	1	face	sofa	aversive
290.999	2	1	face	stapler	neutral
132.008	2	1	face	starfish	neutral
901.011	2	1	face	strawberry	neutral
391.009	2	1	face	tent	aversive
759.003	2	1	face	tire	neutral
473.004	2	1	face	washer	aversive
914.01	2	1	face	watergun	neutral
199.004	2	1	face	watermelon	aversive
