onset	duration	weight	object	emotion
120.995	2	1	abacus	neutral
401.101	2	1	babyplayard	neutral
490.016	2	1	banana	neutral
678.024	2	1	bed	neutral
18.005	2	1	bench	aversive
226.008	2	1	bike	neutral
314.011	2	1	binoculars	aversive
530.005	2	1	boppypillow	aversive
302.007	2	1	bowl	aversive
150.025	2	1	bowlingpin	neutral
324.008	2	1	bowtie	aversive
420.002	2	1	bucket	aversive
551.011	2	1	butterfly	neutral
500.013	2	1	button	neutral
431.01	2	1	ceilingfan	neutral
539.007	2	1	cherry	neutral
409.01	2	1	clownfish	aversive
629.115	2	1	coconut	neutral
294	2	1	compass	aversive
480.002	2	1	computermouse	neutral
521.002	2	1	cookingpan	aversive
602.439	2	1	cookpot	aversive
268.998	2	1	crab	neutral
467.999	2	1	crown	neutral
90.108	2	1	cupsaucer	neutral
233.999	2	1	dolphin	aversive
688.005	2	1	dragonfly	aversive
28.002	2	1	durian	neutral
109.008	2	1	fan	neutral
204.007	2	1	flashlight	aversive
170.998	2	1	fork	aversive
39.011	2	1	gecko	neutral
393.011	2	1	glasses	neutral
376	2	1	glove	aversive
192.004	2	1	grape	aversive
246.003	2	1	guitar	neutral
363.997	2	1	hairbrush	aversive
352.11	2	1	hairdryer	aversive
277.006	2	1	handmirror	aversive
284.997	2	1	hat	neutral
0	2	1	headband	neutral
669.005	2	1	hourglass	aversive
182.023	2	1	icecreamcones	neutral
638.018	2	1	kettle	neutral
343.008	2	1	kiwifruit	neutral
47.997	2	1	lamp	neutral
385.003	2	1	lemon	aversive
8.008	2	1	lightbulb	neutral
258.006	2	1	lock	aversive
559.002	2	1	loster	aversive
580.008	2	1	motorcycle	aversive
439.001	2	1	nailpolish	aversive
58.027	2	1	necktie	aversive
139.995	2	1	orifan	neutral
68.008	2	1	paintbrush	aversive
699.445	2	1	pen	neutral
160.006	2	1	pipe	aversive
591.016	2	1	printer	aversive
100.006	2	1	rollingpin	aversive
129.003	2	1	rubberduck	aversive
610	2	1	scale	neutral
570.01	2	1	shirt	aversive
335.017	2	1	shoe	neutral
659.024	2	1	sofa	aversive
456.111	2	1	stapler	neutral
711	2	1	starfish	neutral
650.005	2	1	strawberry	neutral
619.019	2	1	tent	aversive
512.116	2	1	tire	neutral
214.005	2	1	washer	aversive
79	2	1	watergun	neutral
448.004	2	1	watermelon	aversive
