onset	duration	weight	object	emotion
461.001	2	1	abacus	neutral
99.989	2	1	babyplayard	aversive
22	2	1	banana	aversive
319	2	1	bed	aversive
328.003	2	1	bench	aversive
557.99	2	1	bike	neutral
505.997	2	1	binoculars	neutral
60.995	2	1	boppypillow	neutral
132.003	2	1	bowl	neutral
642.992	2	1	bowlingpin	neutral
608.988	2	1	bowtie	aversive
268.003	2	1	bucket	aversive
427.992	2	1	butterfly	neutral
208.997	2	1	button	neutral
537.995	2	1	ceilingfan	neutral
41	2	1	cherry	neutral
525.992	2	1	clownfish	aversive
632	2	1	coconut	aversive
687.059	2	1	compass	neutral
514.005	2	1	computermouse	neutral
154.004	2	1	cookingpan	neutral
392.993	2	1	cookpot	aversive
620.991	2	1	crab	aversive
578.001	2	1	crown	aversive
335.994	2	1	cupsaucer	aversive
486.003	2	1	dolphin	aversive
478.028	2	1	dragonfly	neutral
111.992	2	1	durian	neutral
218	2	1	fan	aversive
238.011	2	1	flashlight	aversive
0	2	1	fork	neutral
587.998	2	1	gecko	aversive
366.997	2	1	glasses	aversive
289.009	2	1	glove	neutral
404.002	2	1	grape	neutral
31.003	2	1	guitar	aversive
357.995	2	1	hairbrush	neutral
676.001	2	1	hairdryer	aversive
164.001	2	1	handmirror	neutral
496	2	1	hat	neutral
10.992	2	1	headband	aversive
658.991	2	1	hourglass	neutral
227.002	2	1	icecreamcones	aversive
199.995	2	1	kettle	aversive
192.004	2	1	kiwifruit	neutral
123.996	2	1	lamp	aversive
415.989	2	1	lemon	neutral
172.987	2	1	lightbulb	aversive
374.988	2	1	lock	neutral
650.999	2	1	loster	aversive
50.997	2	1	motorcycle	neutral
385.002	2	1	nailpolish	neutral
79.994	2	1	necktie	aversive
546.998	2	1	orifan	neutral
278	2	1	paintbrush	neutral
449.993	2	1	pen	aversive
180.995	2	1	pipe	aversive
707.999	2	1	printer	aversive
69.997	2	1	rollingpin	aversive
143.99	2	1	rubberduck	aversive
309.998	2	1	scale	neutral
345.991	2	1	shirt	aversive
568.004	2	1	shoe	neutral
695.995	2	1	sofa	neutral
300.995	2	1	stapler	neutral
439.001	2	1	starfish	aversive
667.993	2	1	strawberry	aversive
247.992	2	1	tent	aversive
88.002	2	1	tire	aversive
597.996	2	1	washer	neutral
470.004	2	1	watergun	neutral
259.995	2	1	watermelon	neutral
