onset	duration	weight	object	emotion
0	2	1	abacus	neutral
700.008	2	1	babyplayard	aversive
353.005	2	1	banana	aversive
144.007	2	1	bed	aversive
561.007	2	1	bench	aversive
692	2	1	bike	neutral
177.016	2	1	binoculars	neutral
599.007	2	1	boppypillow	neutral
42.012	2	1	bowl	neutral
267.008	2	1	bowlingpin	neutral
278	2	1	bowtie	aversive
405.014	2	1	bucket	aversive
580.007	2	1	butterfly	neutral
517.006	2	1	button	neutral
101	2	1	ceilingfan	neutral
490.015	2	1	cherry	neutral
508.004	2	1	clownfish	aversive
365.008	2	1	coconut	aversive
638.001	2	1	compass	neutral
708.015	2	1	computermouse	neutral
533.005	2	1	cookingpan	neutral
656.006	2	1	cookpot	aversive
607.015	2	1	crab	aversive
553.016	2	1	crown	aversive
374.01	2	1	cupsaucer	aversive
439.001	2	1	dolphin	aversive
9.002	2	1	dragonfly	neutral
132.004	2	1	durian	neutral
384.008	2	1	fan	aversive
646.009	2	1	flashlight	aversive
684.009	2	1	fork	neutral
301.012	2	1	gecko	aversive
84.007	2	1	glasses	aversive
674.011	2	1	glove	neutral
427.014	2	1	grape	neutral
322.001	2	1	guitar	aversive
72.003	2	1	hairbrush	neutral
542.008	2	1	hairdryer	aversive
52.009	2	1	handmirror	neutral
311.009	2	1	hat	neutral
165.013	2	1	headband	aversive
31.003	2	1	hourglass	neutral
205.002	2	1	icecreamcones	aversive
571.005	2	1	kettle	aversive
20.011	2	1	kiwifruit	neutral
225.013	2	1	lamp	aversive
417	2	1	lemon	neutral
626.015	2	1	lightbulb	aversive
289.009	2	1	lock	neutral
333.01	2	1	loster	aversive
617.012	2	1	motorcycle	neutral
666.004	2	1	nailpolish	neutral
247.014	2	1	necktie	aversive
588.015	2	1	orifan	neutral
448.003	2	1	paintbrush	neutral
460.007	2	1	pen	aversive
472.01	2	1	pipe	aversive
216.01	2	1	printer	aversive
93.009	2	1	rollingpin	aversive
63.001	2	1	rubberduck	aversive
499.001	2	1	scale	neutral
122.006	2	1	shirt	aversive
255.005	2	1	shoe	neutral
186.002	2	1	sofa	neutral
154.004	2	1	stapler	neutral
341.001	2	1	starfish	aversive
196.016	2	1	strawberry	aversive
525.014	2	1	tent	aversive
112.009	2	1	tire	aversive
395.016	2	1	washer	neutral
482.007	2	1	watergun	neutral
237.016	2	1	watermelon	neutral
