onset	duration	weight	object	emotion
152.993	2	1	abacus	neutral
224.996	2	1	babyplayard	aversive
242.985	2	1	banana	neutral
631.005	2	1	bed	aversive
274.435	2	1	bench	aversive
499.996	2	1	bike	aversive
323.991	2	1	binoculars	neutral
29.991	2	1	boppypillow	aversive
160.984	2	1	bowl	neutral
660.997	2	1	bowlingpin	neutral
294.994	2	1	bowtie	aversive
540.996	2	1	bucket	neutral
344.997	2	1	butterfly	neutral
20.989	2	1	button	neutral
203.99	2	1	ceilingfan	neutral
193.993	2	1	cherry	aversive
679.996	2	1	clownfish	aversive
580.985	2	1	coconut	aversive
253.993	2	1	compass	neutral
478.99	2	1	computermouse	aversive
314.988	2	1	cookingpan	aversive
0	2	1	cookpot	neutral
134.988	2	1	crab	aversive
687.988	2	1	crown	neutral
213.988	2	1	cupsaucer	neutral
671.01	2	1	dolphin	aversive
650.999	2	1	dragonfly	aversive
365.986	2	1	durian	aversive
433.994	2	1	fan	neutral
528.993	2	1	flashlight	aversive
550.993	2	1	fork	neutral
100.005	2	1	gecko	neutral
708.993	2	1	glasses	neutral
609.999	2	1	glove	aversive
354.994	2	1	grape	aversive
384.986	2	1	guitar	neutral
81.006	2	1	hairbrush	aversive
111.014	2	1	hairdryer	neutral
421.99	2	1	handmirror	neutral
470.999	2	1	hat	aversive
589.988	2	1	headband	neutral
171.992	2	1	hourglass	neutral
442.002	2	1	icecreamcones	aversive
49.986	2	1	kettle	aversive
619.001	2	1	kiwifruit	aversive
404.997	2	1	lamp	aversive
570.988	2	1	lemon	aversive
88.997	2	1	lightbulb	aversive
451.004	2	1	lock	neutral
60	2	1	loster	neutral
234.993	2	1	motorcycle	neutral
519.012	2	1	nailpolish	neutral
11.986	2	1	necktie	aversive
183.996	2	1	orifan	aversive
489.998	2	1	paintbrush	neutral
123.001	2	1	pen	neutral
142.995	2	1	pipe	neutral
510.988	2	1	printer	aversive
302.985	2	1	rollingpin	aversive
376.995	2	1	rubberduck	aversive
561.985	2	1	scale	aversive
284.996	2	1	shirt	neutral
696.99	2	1	shoe	aversive
638.996	2	1	sofa	neutral
459.99	2	1	stapler	neutral
68.986	2	1	starfish	neutral
413.999	2	1	strawberry	neutral
39.989	2	1	tent	neutral
332.993	2	1	tire	aversive
395.994	2	1	washer	aversive
597.996	2	1	watergun	neutral
261.984	2	1	watermelon	aversive
