onset	duration	weight	object	emotion
595.99	2	1	abacus	neutral
622.998	2	1	babyplayard	aversive
528.994	2	1	banana	neutral
552.006	2	1	bed	aversive
572.995	2	1	bench	aversive
234.994	2	1	bike	aversive
488.988	2	1	binoculars	aversive
195.005	2	1	boppypillow	aversive
79.995	2	1	bowl	aversive
104.997	2	1	bowlingpin	aversive
392	2	1	bowtie	neutral
40.006	2	1	bucket	neutral
217.006	2	1	butterfly	aversive
603.998	2	1	button	neutral
205.003	2	1	ceilingfan	aversive
438.007	2	1	cherry	neutral
341.002	2	1	clownfish	aversive
540.997	2	1	coconut	aversive
506.993	2	1	compass	neutral
701.998	2	1	computermouse	neutral
660.997	2	1	cookingpan	neutral
245.008	2	1	cookpot	aversive
12.004	2	1	crab	aversive
404.003	2	1	crown	aversive
63.002	2	1	cupsaucer	neutral
640.008	2	1	dolphin	neutral
294.995	2	1	dragonfly	neutral
324.008	2	1	durian	aversive
379.996	2	1	fan	aversive
171.993	2	1	flashlight	aversive
278.001	2	1	fork	neutral
711	2	1	gecko	aversive
416.006	2	1	glasses	neutral
305.008	2	1	glove	neutral
142.996	2	1	grape	aversive
350.999	2	1	guitar	aversive
51.993	2	1	hairbrush	neutral
692.995	2	1	hairdryer	neutral
268.004	2	1	handmirror	neutral
426.004	2	1	hat	neutral
161.996	2	1	headband	aversive
121.99	2	1	hourglass	neutral
331.999	2	1	icecreamcones	neutral
95.994	2	1	kettle	aversive
584.004	2	1	kiwifruit	aversive
360.996	2	1	lamp	neutral
256	2	1	lemon	aversive
70.993	2	1	lightbulb	neutral
517.007	2	1	lock	neutral
112.988	2	1	loster	neutral
0	2	1	motorcycle	neutral
631.006	2	1	nailpolish	aversive
225.992	2	1	necktie	aversive
682.998	2	1	orifan	aversive
285.992	2	1	paintbrush	aversive
313	2	1	pen	neutral
562.998	2	1	pipe	aversive
22.996	2	1	printer	neutral
477.996	2	1	rollingpin	aversive
455.001	2	1	rubberduck	neutral
467.004	2	1	scale	neutral
649.989	2	1	shirt	neutral
670.995	2	1	shoe	aversive
88.003	2	1	sofa	neutral
31.998	2	1	stapler	aversive
499.002	2	1	starfish	aversive
446.993	2	1	strawberry	neutral
132.004	2	1	tent	aversive
612.006	2	1	tire	neutral
152.994	2	1	washer	neutral
183.002	2	1	watergun	neutral
368.988	2	1	watermelon	aversive
