onset	duration	weight	object	emotion
487.529	2	1	abacus	neutral
370.529	2	1	babyplayard	aversive
670.547	2	1	banana	neutral
260.543	2	1	bed	aversive
554.559	2	1	bench	aversive
361.56	2	1	bike	neutral
77.541	2	1	binoculars	neutral
416.537	2	1	boppypillow	neutral
138.553	2	1	bowl	neutral
546.535	2	1	bowlingpin	aversive
678.986	2	1	bowtie	neutral
307.545	2	1	bucket	neutral
157.536	2	1	butterfly	neutral
148.55	2	1	button	aversive
608.541	2	1	ceilingfan	neutral
190.529	2	1	cherry	aversive
689.53	2	1	clownfish	aversive
404.534	2	1	coconut	neutral
30.539	2	1	compass	aversive
280.554	2	1	computermouse	aversive
464.981	2	1	cookingpan	aversive
497.543	2	1	cookpot	neutral
592.542	2	1	crab	neutral
252.568	2	1	crown	neutral
242.538	2	1	cupsaucer	aversive
600.533	2	1	dolphin	neutral
89.528	2	1	dragonfly	neutral
108.545	2	1	durian	neutral
326.561	2	1	fan	neutral
574.537	2	1	flashlight	neutral
381.538	2	1	fork	aversive
232.541	2	1	gecko	neutral
566.529	2	1	glasses	aversive
289.54	2	1	glove	aversive
212.529	2	1	grape	aversive
506.562	2	1	guitar	aversive
707.569	2	1	hairbrush	aversive
200.576	2	1	hairdryer	neutral
639.527	2	1	handmirror	neutral
129.55	2	1	hat	aversive
424.545	2	1	headband	neutral
20.542	2	1	hourglass	aversive
619.533	2	1	icecreamcones	aversive
535.543	2	1	kettle	aversive
272.53	2	1	kiwifruit	aversive
584.998	2	1	lamp	neutral
68.539	2	1	lemon	neutral
47.533	2	1	lightbulb	aversive
0	2	1	lock	neutral
169.573	2	1	loster	aversive
475.542	2	1	motorcycle	neutral
11.539	2	1	nailpolish	aversive
316.564	2	1	necktie	aversive
58.542	2	1	orifan	aversive
514.553	2	1	paintbrush	aversive
338.548	2	1	pen	neutral
455.531	2	1	pipe	aversive
524.551	2	1	printer	aversive
99.542	2	1	rollingpin	aversive
650.652	2	1	rubberduck	aversive
627.541	2	1	scale	neutral
299.537	2	1	shirt	neutral
659.539	2	1	shoe	neutral
445.998	2	1	sofa	aversive
180.532	2	1	stapler	neutral
117.531	2	1	starfish	aversive
38.53	2	1	strawberry	neutral
221.549	2	1	tent	neutral
435.537	2	1	tire	neutral
349.54	2	1	washer	neutral
392.547	2	1	watergun	aversive
699.992	2	1	watermelon	aversive
