onset	duration	weight	type	object	emotion
569.215	2	1	voice	abacus	aversive
863.23	2	1	voice	babyplayard	neutral
711.206	2	1	voice	banana	neutral
969.206	2	1	voice	bed	aversive
63.213	2	1	voice	bench	aversive
48.214	2	1	voice	bike	aversive
823.215	2	1	voice	binoculars	aversive
17.249	2	1	voice	boppypillow	aversive
2.335	2	1	voice	bowl	aversive
426.207	2	1	voice	bowlingpin	aversive
510.202	2	1	voice	bowtie	aversive
524.201	2	1	voice	bucket	aversive
783.218	2	1	voice	butterfly	aversive
755.203	2	1	voice	button	neutral
286.216	2	1	voice	ceilingfan	aversive
398.209	2	1	voice	cherry	aversive
666.109	2	1	voice	clownfish	neutral
301.232	2	1	voice	coconut	neutral
654.209	2	1	voice	compass	aversive
411.208	2	1	voice	computermouse	neutral
583.247	2	1	voice	cookingpan	neutral
697.157	2	1	voice	cookpot	aversive
642.193	2	1	voice	crab	aversive
553.216	2	1	voice	crown	neutral
384.21	2	1	voice	cupsaucer	aversive
916.21	2	1	voice	dolphin	aversive
438.223	2	1	voice	dragonfly	neutral
494.219	2	1	voice	durian	neutral
254.218	2	1	voice	fan	neutral
145.208	2	1	voice	flashlight	neutral
904.21	2	1	voice	fork	neutral
75.212	2	1	voice	gecko	neutral
984.205	2	1	voice	glasses	neutral
270.217	2	1	voice	glove	aversive
198.205	2	1	voice	grape	aversive
996.221	2	1	voice	guitar	aversive
891.195	2	1	voice	hairbrush	aversive
628.194	2	1	voice	hairdryer	neutral
158.224	2	1	voice	handmirror	aversive
682.208	2	1	voice	hat	neutral
186.205	2	1	voice	headband	neutral
466.204	2	1	voice	hourglass	aversive
172.206	2	1	voice	icecreamcones	neutral
768.219	2	1	voice	kettle	neutral
612.212	2	1	voice	kiwifruit	aversive
943.208	2	1	voice	lamp	neutral
930.192	2	1	voice	lemon	aversive
370.211	2	1	voice	lightbulb	neutral
957.207	2	1	voice	lock	neutral
213.204	2	1	voice	loster	neutral
357.195	2	1	voice	motorcycle	aversive
742.204	2	1	voice	nailpolish	aversive
225.203	2	1	voice	necktie	neutral
328.197	2	1	voice	orifan	aversive
727.221	2	1	voice	paintbrush	aversive
238.219	2	1	voice	pen	aversive
118.21	2	1	voice	pipe	neutral
91.211	2	1	voice	printer	neutral
835.198	2	1	voice	rollingpin	neutral
106.21	2	1	voice	rubberduck	aversive
596.146	2	1	voice	scale	neutral
538.217	2	1	voice	shirt	neutral
33.198	2	1	voice	shoe	neutral
344.179	2	1	voice	sofa	neutral
454.205	2	1	voice	stapler	neutral
850.214	2	1	voice	starfish	aversive
316.214	2	1	voice	strawberry	aversive
879.212	2	1	voice	tent	neutral
810.216	2	1	voice	tire	neutral
480.204	2	1	voice	washer	aversive
797.2	2	1	voice	watergun	neutral
132.209	2	1	voice	watermelon	aversive
566.998	2	1	face	abacus	aversive
861.013	2	1	face	babyplayard	neutral
709.006	2	1	face	banana	neutral
967.006	2	1	face	bed	aversive
61.013	2	1	face	bench	aversive
46.014	2	1	face	bike	aversive
820.999	2	1	face	binoculars	aversive
14.999	2	1	face	boppypillow	aversive
0	2	1	face	bowl	aversive
424.007	2	1	face	bowlingpin	aversive
508.002	2	1	face	bowtie	aversive
522.001	2	1	face	bucket	aversive
781.001	2	1	face	butterfly	aversive
753.003	2	1	face	button	neutral
283.999	2	1	face	ceilingfan	aversive
396.009	2	1	face	cherry	aversive
664.009	2	1	face	clownfish	neutral
298.998	2	1	face	coconut	neutral
652.01	2	1	face	compass	aversive
409.008	2	1	face	computermouse	neutral
581.014	2	1	face	cookingpan	neutral
695.007	2	1	face	cookpot	aversive
640.01	2	1	face	crab	aversive
550.999	2	1	face	crown	neutral
382.01	2	1	face	cupsaucer	aversive
914.01	2	1	face	dolphin	aversive
436.006	2	1	face	dragonfly	neutral
492.003	2	1	face	durian	neutral
252.001	2	1	face	fan	neutral
143.008	2	1	face	flashlight	neutral
902.011	2	1	face	fork	neutral
73.012	2	1	face	gecko	neutral
982.005	2	1	face	glasses	neutral
268	2	1	face	glove	aversive
196.005	2	1	face	grape	aversive
994.005	2	1	face	guitar	aversive
889.011	2	1	face	hairbrush	aversive
626.011	2	1	face	hairdryer	neutral
156.007	2	1	face	handmirror	aversive
680.008	2	1	face	hat	neutral
184.006	2	1	face	headband	neutral
464.005	2	1	face	hourglass	aversive
170.006	2	1	face	icecreamcones	neutral
766.002	2	1	face	kettle	neutral
610.012	2	1	face	kiwifruit	aversive
941.008	2	1	face	lamp	neutral
928.009	2	1	face	lemon	aversive
368.011	2	1	face	lightbulb	neutral
955.007	2	1	face	lock	neutral
211.004	2	1	face	loster	neutral
355.011	2	1	face	motorcycle	aversive
740.004	2	1	face	nailpolish	aversive
223.003	2	1	face	necktie	neutral
326.013	2	1	face	orifan	aversive
725.005	2	1	face	paintbrush	aversive
236.002	2	1	face	pen	aversive
116.01	2	1	face	pipe	neutral
89.012	2	1	face	printer	neutral
832.998	2	1	face	rollingpin	neutral
104.011	2	1	face	rubberduck	aversive
594.013	2	1	face	scale	neutral
536	2	1	face	shirt	neutral
31.015	2	1	face	shoe	neutral
342.012	2	1	face	sofa	neutral
452.005	2	1	face	stapler	neutral
848.014	2	1	face	starfish	aversive
314.014	2	1	face	strawberry	aversive
877.012	2	1	face	tent	neutral
808	2	1	face	tire	neutral
478.004	2	1	face	washer	aversive
795.001	2	1	face	watergun	neutral
130.009	2	1	face	watermelon	aversive
