onset	duration	weight	type	object	emotion
231.202	2	1	voice	abacus	neutral
726.121	2	1	voice	babyplayard	aversive
520.101	2	1	voice	banana	aversive
617.212	2	1	voice	bed	neutral
352.211	2	1	voice	bench	aversive
838.198	2	1	voice	bike	aversive
45.214	2	1	voice	binoculars	neutral
426.107	2	1	voice	boppypillow	aversive
811.199	2	1	voice	bowl	aversive
894.194	2	1	voice	bowlingpin	neutral
767.085	2	1	voice	bowtie	neutral
327.296	2	1	voice	bucket	aversive
671.192	2	1	voice	butterfly	neutral
217.203	2	1	voice	button	aversive
864.196	2	1	voice	ceilingfan	aversive
470.204	2	1	voice	cherry	aversive
645.21	2	1	voice	clownfish	aversive
561.198	2	1	voice	coconut	aversive
995.221	2	1	voice	compass	aversive
187.205	2	1	voice	computermouse	neutral
630.211	2	1	voice	cookingpan	aversive
546.199	2	1	voice	cookpot	aversive
573.214	2	1	voice	crab	neutral
290.215	2	1	voice	crown	aversive
245.201	2	1	voice	cupsaucer	aversive
440.239	2	1	voice	dolphin	neutral
15.132	2	1	voice	dragonfly	neutral
368.194	2	1	voice	durian	aversive
91.211	2	1	voice	fan	aversive
605.196	2	1	voice	flashlight	aversive
60.196	2	1	voice	fork	aversive
132.192	2	1	voice	gecko	neutral
950.191	2	1	voice	glasses	aversive
508.218	2	1	voice	glove	aversive
260.2	2	1	voice	grape	neutral
878.195	2	1	voice	guitar	neutral
798.2	2	1	voice	hairbrush	neutral
907.11	2	1	voice	hairdryer	aversive
105.21	2	1	voice	handmirror	aversive
753.203	2	1	voice	hat	aversive
171.206	2	1	voice	headband	aversive
825.199	2	1	voice	hourglass	neutral
339.212	2	1	voice	icecreamcones	neutral
980.206	2	1	voice	kettle	neutral
75.112	2	1	voice	kiwifruit	neutral
966.206	2	1	voice	lamp	neutral
533.2	2	1	voice	lemon	neutral
315.197	2	1	voice	lightbulb	neutral
851.214	2	1	voice	lock	neutral
146.191	2	1	voice	loster	aversive
935.208	2	1	voice	motorcycle	neutral
410.208	2	1	voice	nailpolish	neutral
201.187	2	1	voice	necktie	aversive
455.188	2	1	voice	orifan	neutral
120.209	2	1	voice	paintbrush	neutral
589.197	2	1	voice	pen	neutral
919.193	2	1	voice	pipe	neutral
496.202	2	1	voice	printer	neutral
712.222	2	1	voice	rollingpin	aversive
700.206	2	1	voice	rubberduck	neutral
684.191	2	1	voice	scale	aversive
739.204	2	1	voice	shirt	neutral
158.24	2	1	voice	shoe	neutral
394.192	2	1	voice	sofa	aversive
484.186	2	1	voice	stapler	neutral
382.193	2	1	voice	starfish	neutral
302.231	2	1	voice	strawberry	neutral
783.201	2	1	voice	tent	aversive
2.333	2	1	voice	tire	aversive
657.192	2	1	voice	washer	neutral
276.199	2	1	voice	watergun	aversive
30.198	2	1	voice	watermelon	aversive
229.002	2	1	face	abacus	neutral
724.005	2	1	face	babyplayard	aversive
518.001	2	1	face	banana	aversive
614.995	2	1	face	bed	neutral
349.995	2	1	face	bench	aversive
835.998	2	1	face	bike	aversive
42.997	2	1	face	binoculars	neutral
423.99	2	1	face	boppypillow	aversive
809	2	1	face	bowl	aversive
891.994	2	1	face	bowlingpin	neutral
765.002	2	1	face	bowtie	neutral
324.996	2	1	face	bucket	aversive
669.008	2	1	face	butterfly	neutral
215.003	2	1	face	button	aversive
861.996	2	1	face	ceilingfan	aversive
468.004	2	1	face	cherry	aversive
642.993	2	1	face	clownfish	aversive
558.999	2	1	face	coconut	aversive
993.005	2	1	face	compass	aversive
185.005	2	1	face	computermouse	neutral
627.994	2	1	face	cookingpan	aversive
543.999	2	1	face	cookpot	aversive
570.998	2	1	face	crab	neutral
287.999	2	1	face	crown	aversive
243.002	2	1	face	cupsaucer	aversive
438.006	2	1	face	dolphin	neutral
12.999	2	1	face	dragonfly	neutral
365.994	2	1	face	durian	aversive
88.994	2	1	face	fan	aversive
602.996	2	1	face	flashlight	aversive
57.996	2	1	face	fork	aversive
130.009	2	1	face	gecko	neutral
948.008	2	1	face	glasses	aversive
506.002	2	1	face	glove	aversive
258.001	2	1	face	grape	neutral
875.995	2	1	face	guitar	neutral
796	2	1	face	hairbrush	neutral
904.994	2	1	face	hairdryer	aversive
102.994	2	1	face	handmirror	aversive
751.003	2	1	face	hat	aversive
169.006	2	1	face	headband	aversive
822.999	2	1	face	hourglass	neutral
336.996	2	1	face	icecreamcones	neutral
978.006	2	1	face	kettle	neutral
72.995	2	1	face	kiwifruit	neutral
964.007	2	1	face	lamp	neutral
531	2	1	face	lemon	neutral
312.997	2	1	face	lightbulb	neutral
848.997	2	1	face	lock	neutral
144.008	2	1	face	loster	aversive
933.009	2	1	face	motorcycle	neutral
408.008	2	1	face	nailpolish	neutral
199.004	2	1	face	necktie	aversive
453.005	2	1	face	orifan	neutral
118.009	2	1	face	paintbrush	neutral
586.997	2	1	face	pen	neutral
916.993	2	1	face	pipe	neutral
494.003	2	1	face	printer	neutral
710.006	2	1	face	rollingpin	aversive
698.007	2	1	face	rubberduck	neutral
682.008	2	1	face	scale	aversive
737.004	2	1	face	shirt	neutral
156.007	2	1	face	shoe	neutral
391.992	2	1	face	sofa	aversive
482.003	2	1	face	stapler	neutral
379.993	2	1	face	starfish	neutral
299.998	2	1	face	strawberry	neutral
781.001	2	1	face	tent	aversive
0	2	1	face	tire	aversive
654.992	2	1	face	washer	neutral
274	2	1	face	watergun	aversive
27.998	2	1	face	watermelon	aversive
