onset	duration	weight	object	emotion
594.995	2	1	abacus	neutral
101.995	2	1	babyplayard	aversive
534	2	1	banana	neutral
383.991	2	1	bed	aversive
211.004	2	1	bench	aversive
514.006	2	1	bike	neutral
130.992	2	1	binoculars	neutral
307.992	2	1	boppypillow	neutral
82.001	2	1	bowl	neutral
249.998	2	1	bowlingpin	aversive
363.002	2	1	bowtie	neutral
56.004	2	1	bucket	neutral
110.003	2	1	butterfly	neutral
120	2	1	button	aversive
394.005	2	1	ceilingfan	neutral
281.001	2	1	cherry	aversive
10.992	2	1	clownfish	aversive
423.002	2	1	coconut	neutral
688.005	2	1	compass	aversive
543.997	2	1	computermouse	aversive
193.993	2	1	cookingpan	aversive
560.991	2	1	cookpot	neutral
474	2	1	crab	neutral
298.99	2	1	crown	neutral
238.989	2	1	cupsaucer	aversive
486.003	2	1	dolphin	neutral
647.999	2	1	dragonfly	neutral
148.997	2	1	durian	neutral
40.005	2	1	fan	neutral
711.995	2	1	flashlight	neutral
699.991	2	1	fork	aversive
432.005	2	1	gecko	neutral
442.997	2	1	glasses	aversive
676.996	2	1	glove	aversive
553	2	1	grape	aversive
401.996	2	1	guitar	aversive
290.004	2	1	hairbrush	aversive
524.003	2	1	hairdryer	neutral
219.99	2	1	handmirror	neutral
173.004	2	1	hat	aversive
638.002	2	1	headband	neutral
319.001	2	1	hourglass	aversive
452.994	2	1	icecreamcones	aversive
584.003	2	1	kettle	aversive
626.993	2	1	kiwifruit	aversive
181.99	2	1	lamp	neutral
350.999	2	1	lemon	neutral
617.991	2	1	lightbulb	aversive
493.994	2	1	lock	neutral
140.989	2	1	loster	aversive
666.999	2	1	motorcycle	neutral
411.994	2	1	nailpolish	aversive
657.996	2	1	necktie	aversive
268.998	2	1	orifan	aversive
331.004	2	1	paintbrush	aversive
161.001	2	1	pen	neutral
28.002	2	1	pipe	aversive
338.995	2	1	printer	aversive
94.004	2	1	rollingpin	aversive
606.998	2	1	rubberduck	aversive
230.003	2	1	scale	neutral
66.002	2	1	shirt	neutral
73.993	2	1	shoe	neutral
0	2	1	sofa	aversive
19.994	2	1	stapler	neutral
373.994	2	1	starfish	aversive
502.997	2	1	strawberry	neutral
259.995	2	1	tent	neutral
202.001	2	1	tire	neutral
572.995	2	1	washer	neutral
47.997	2	1	watergun	aversive
464.003	2	1	watermelon	aversive
