onset	duration	weight	type	object	emotion
837.198	2	1	voice	abacus	neutral
342.195	2	1	voice	babyplayard	neutral
796.2	2	1	voice	banana	neutral
467.204	2	1	voice	bed	neutral
587.197	2	1	voice	bench	neutral
196.204	2	1	voice	bike	aversive
285.216	2	1	voice	binoculars	aversive
994.205	2	1	voice	boppypillow	aversive
440.189	2	1	voice	bowl	aversive
329.196	2	1	voice	bowlingpin	aversive
658.209	2	1	voice	bowtie	aversive
157.207	2	1	voice	bucket	aversive
184.188	2	1	voice	butterfly	neutral
30.215	2	1	voice	button	aversive
850.214	2	1	voice	ceilingfan	aversive
601.213	2	1	voice	cherry	aversive
395.209	2	1	voice	clownfish	aversive
981.206	2	1	voice	coconut	neutral
480.203	2	1	voice	compass	aversive
882.195	2	1	voice	computermouse	aversive
642.21	2	1	voice	cookingpan	neutral
615.212	2	1	voice	cookpot	aversive
242.202	2	1	voice	crab	aversive
367.194	2	1	voice	crown	aversive
142.208	2	1	voice	cupsaucer	neutral
543.2	2	1	voice	dolphin	aversive
557.199	2	1	voice	dragonfly	aversive
627.194	2	1	voice	durian	neutral
59.213	2	1	voice	fan	aversive
894.194	2	1	voice	flashlight	neutral
314.214	2	1	voice	fork	neutral
701.206	2	1	voice	gecko	aversive
531.2	2	1	voice	glasses	neutral
687.191	2	1	voice	glove	neutral
43.214	2	1	voice	grape	neutral
572.214	2	1	voice	guitar	neutral
937.192	2	1	voice	hairbrush	neutral
519.184	2	1	voice	hairdryer	aversive
257.201	2	1	voice	handmirror	neutral
507.202	2	1	voice	hat	neutral
924.209	2	1	voice	headband	neutral
823.182	2	1	voice	hourglass	neutral
674.208	2	1	voice	icecreamcones	aversive
866.196	2	1	voice	kettle	neutral
727.188	2	1	voice	kiwifruit	aversive
411.208	2	1	voice	lamp	neutral
3.035	2	1	voice	lemon	neutral
426.223	2	1	voice	lightbulb	neutral
170.206	2	1	voice	lock	aversive
757.203	2	1	voice	loster	neutral
86.211	2	1	voice	motorcycle	neutral
770.202	2	1	voice	nailpolish	aversive
354.211	2	1	voice	necktie	aversive
950.207	2	1	voice	orifan	aversive
495.202	2	1	voice	paintbrush	neutral
381.193	2	1	voice	pen	neutral
15.266	2	1	voice	pipe	aversive
271.216	2	1	voice	printer	neutral
126.209	2	1	voice	rollingpin	aversive
908.193	2	1	voice	rubberduck	aversive
301.198	2	1	voice	scale	aversive
811.199	2	1	voice	shirt	aversive
114.193	2	1	voice	shoe	neutral
212.203	2	1	voice	sofa	aversive
966.19	2	1	voice	stapler	aversive
782.201	2	1	voice	starfish	neutral
741.187	2	1	voice	strawberry	neutral
101.21	2	1	voice	tent	aversive
228.219	2	1	voice	tire	neutral
74.212	2	1	voice	washer	aversive
715.205	2	1	voice	watergun	neutral
455.188	2	1	voice	watermelon	neutral
834.998	2	1	face	abacus	neutral
339.995	2	1	face	babyplayard	neutral
794.001	2	1	face	banana	neutral
465.004	2	1	face	bed	neutral
584.997	2	1	face	bench	neutral
194.005	2	1	face	bike	aversive
282.999	2	1	face	binoculars	aversive
992.005	2	1	face	boppypillow	aversive
438.006	2	1	face	bowl	aversive
326.996	2	1	face	bowlingpin	aversive
655.992	2	1	face	bowtie	aversive
155.007	2	1	face	bucket	aversive
182.005	2	1	face	butterfly	neutral
27.998	2	1	face	button	aversive
847.997	2	1	face	ceilingfan	aversive
598.996	2	1	face	cherry	aversive
392.992	2	1	face	clownfish	aversive
979.006	2	1	face	coconut	neutral
478.004	2	1	face	compass	aversive
879.995	2	1	face	computermouse	aversive
639.993	2	1	face	cookingpan	neutral
612.995	2	1	face	cookpot	aversive
240.002	2	1	face	crab	aversive
364.994	2	1	face	crown	aversive
140.008	2	1	face	cupsaucer	neutral
541	2	1	face	dolphin	aversive
554.999	2	1	face	dragonfly	aversive
624.994	2	1	face	durian	neutral
56.996	2	1	face	fan	aversive
891.994	2	1	face	flashlight	neutral
311.997	2	1	face	fork	neutral
699.006	2	1	face	gecko	aversive
529	2	1	face	glasses	neutral
685.007	2	1	face	glove	neutral
40.997	2	1	face	grape	neutral
569.998	2	1	face	guitar	neutral
935.008	2	1	face	hairbrush	neutral
517.001	2	1	face	hairdryer	aversive
255.001	2	1	face	handmirror	neutral
505.002	2	1	face	hat	neutral
921.993	2	1	face	headband	neutral
820.999	2	1	face	hourglass	neutral
672.008	2	1	face	icecreamcones	aversive
863.996	2	1	face	kettle	neutral
725.005	2	1	face	kiwifruit	aversive
409.008	2	1	face	lamp	neutral
0	2	1	face	lemon	neutral
424.007	2	1	face	lightbulb	neutral
168.006	2	1	face	lock	aversive
755.003	2	1	face	loster	neutral
83.995	2	1	face	motorcycle	neutral
768.002	2	1	face	nailpolish	aversive
351.995	2	1	face	necktie	aversive
948.008	2	1	face	orifan	aversive
493.003	2	1	face	paintbrush	neutral
378.993	2	1	face	pen	neutral
12.999	2	1	face	pipe	aversive
269	2	1	face	printer	neutral
124.009	2	1	face	rollingpin	aversive
905.994	2	1	face	rubberduck	aversive
298.998	2	1	face	scale	aversive
809	2	1	face	shirt	aversive
111.993	2	1	face	shoe	neutral
210.004	2	1	face	sofa	aversive
964.007	2	1	face	stapler	aversive
780.001	2	1	face	starfish	neutral
739.004	2	1	face	strawberry	neutral
98.994	2	1	face	tent	aversive
226.003	2	1	face	tire	neutral
71.996	2	1	face	washer	aversive
713.006	2	1	face	watergun	neutral
453.005	2	1	face	watermelon	neutral
