onset	duration	weight	object	emotion
685.998	2	1	abacus	aversive
154.004	2	1	babyplayard	aversive
46.007	2	1	banana	neutral
183.001	2	1	bed	neutral
537.001	2	1	bench	neutral
249.003	2	1	bike	neutral
516.012	2	1	binoculars	aversive
505.003	2	1	boppypillow	neutral
293.999	2	1	bowl	aversive
560.013	2	1	bowlingpin	neutral
442.002	2	1	bowtie	neutral
163.007	2	1	bucket	neutral
8.008	2	1	butterfly	neutral
390.009	2	1	button	aversive
274.005	2	1	ceilingfan	aversive
420.001	2	1	cherry	aversive
0	2	1	clownfish	neutral
657.001	2	1	coconut	aversive
145.002	2	1	compass	neutral
709.01	2	1	computermouse	aversive
381.007	2	1	cookingpan	aversive
208.998	2	1	cookpot	neutral
371.01	2	1	crab	aversive
37.005	2	1	crown	neutral
453.011	2	1	cupsaucer	aversive
200.012	2	1	dolphin	neutral
258.006	2	1	dragonfly	aversive
324.008	2	1	durian	neutral
285.013	2	1	fan	aversive
124.012	2	1	flashlight	aversive
464.997	2	1	fork	aversive
353.005	2	1	gecko	aversive
624.009	2	1	glasses	aversive
53.998	2	1	glove	neutral
612.005	2	1	grape	neutral
485.008	2	1	guitar	neutral
568.999	2	1	hairbrush	aversive
526.009	2	1	hairdryer	neutral
237	2	1	handmirror	neutral
580.007	2	1	hat	neutral
170.998	2	1	headband	aversive
75.004	2	1	hourglass	aversive
135.004	2	1	icecreamcones	neutral
432.005	2	1	kettle	neutral
217.005	2	1	kiwifruit	aversive
266.013	2	1	lamp	neutral
303.002	2	1	lemon	neutral
64.012	2	1	lightbulb	neutral
334.005	2	1	lock	aversive
495.006	2	1	loster	neutral
27.007	2	1	motorcycle	aversive
697.007	2	1	nailpolish	neutral
361.012	2	1	necktie	neutral
87.008	2	1	orifan	aversive
678.007	2	1	paintbrush	neutral
94.999	2	1	pen	neutral
225.013	2	1	pipe	aversive
401.002	2	1	printer	neutral
644.998	2	1	rollingpin	aversive
477.001	2	1	rubberduck	neutral
18.005	2	1	scale	aversive
410.999	2	1	shirt	aversive
634.006	2	1	shoe	aversive
548.009	2	1	sofa	neutral
600.002	2	1	stapler	aversive
106.007	2	1	starfish	aversive
312.999	2	1	strawberry	aversive
592.011	2	1	tent	neutral
192.004	2	1	tire	aversive
666.004	2	1	washer	neutral
113.999	2	1	watergun	aversive
344.002	2	1	watermelon	aversive
