onset	duration	weight	object	emotion
390.01	2	1	abacus	neutral
94.999	2	1	babyplayard	aversive
310.015	2	1	banana	neutral
552.005	2	1	bed	aversive
467.999	2	1	bench	neutral
158	2	1	bike	neutral
612.006	2	1	binoculars	aversive
117	2	1	boppypillow	aversive
28.997	2	1	bowl	aversive
75.999	2	1	bowlingpin	neutral
679.997	2	1	bowtie	neutral
320.012	2	1	bucket	aversive
458.001	2	1	butterfly	aversive
501.008	2	1	button	neutral
563.014	2	1	ceilingfan	aversive
221.001	2	1	cherry	aversive
698.997	2	1	clownfish	neutral
584.998	2	1	coconut	neutral
659.008	2	1	compass	aversive
489.999	2	1	computermouse	aversive
543.998	2	1	cookingpan	aversive
57.994	2	1	cookpot	neutral
210.009	2	1	crab	aversive
49.008	2	1	crown	neutral
357.001	2	1	cupsaucer	aversive
438.007	2	1	dolphin	aversive
186.997	2	1	dragonfly	aversive
148.998	2	1	durian	neutral
328.998	2	1	fan	neutral
268.998	2	1	flashlight	neutral
289.009	2	1	fork	aversive
259.001	2	1	gecko	neutral
167.998	2	1	glasses	neutral
398.001	2	1	glove	neutral
301.013	2	1	grape	aversive
407.004	2	1	guitar	neutral
381.007	2	1	hairbrush	neutral
138.006	2	1	hairdryer	aversive
233.005	2	1	handmirror	aversive
177	2	1	hat	neutral
593.006	2	1	headband	neutral
338.001	2	1	hourglass	neutral
41.017	2	1	icecreamcones	aversive
126.002	2	1	kettle	neutral
249.004	2	1	kiwifruit	neutral
19	2	1	lamp	aversive
426.998	2	1	lemon	aversive
450.01	2	1	lightbulb	aversive
532.011	2	1	lock	aversive
632	2	1	loster	neutral
573.011	2	1	motorcycle	neutral
0	2	1	nailpolish	aversive
240.996	2	1	necktie	aversive
521.002	2	1	orifan	neutral
347.003	2	1	paintbrush	neutral
8.008	2	1	pen	neutral
199.001	2	1	pipe	aversive
66.002	2	1	printer	neutral
619.997	2	1	rollingpin	neutral
106.008	2	1	rubberduck	neutral
651	2	1	scale	aversive
669.005	2	1	shirt	aversive
281.001	2	1	shoe	neutral
710.022	2	1	sofa	neutral
369.004	2	1	stapler	aversive
512	2	1	starfish	neutral
480.002	2	1	strawberry	aversive
603.003	2	1	tent	aversive
689.994	2	1	tire	aversive
419.007	2	1	washer	neutral
641.997	2	1	watergun	aversive
87.008	2	1	watermelon	aversive
