onset	duration	weight	type	object	emotion
124.209	2	1	voice	abacus	neutral
872.212	2	1	voice	babyplayard	aversive
491.202	2	1	voice	banana	neutral
476.203	2	1	voice	bed	aversive
448.205	2	1	voice	bench	neutral
111.11	2	1	voice	bike	neutral
184.222	2	1	voice	binoculars	aversive
586.197	2	1	voice	boppypillow	aversive
327.213	2	1	voice	bowl	aversive
725.204	2	1	voice	bowlingpin	aversive
14.182	2	1	voice	bowtie	neutral
382.209	2	1	voice	bucket	aversive
343.212	2	1	voice	butterfly	neutral
29.248	2	1	voice	button	aversive
284.216	2	1	voice	ceilingfan	neutral
656.209	2	1	voice	cherry	aversive
858.263	2	1	voice	clownfish	neutral
685.207	2	1	voice	coconut	neutral
574.231	2	1	voice	compass	aversive
843.13	2	1	voice	computermouse	neutral
967.206	2	1	voice	cookingpan	neutral
57.23	2	1	voice	cookpot	neutral
169.206	2	1	voice	crab	neutral
642.21	2	1	voice	crown	neutral
45.214	2	1	voice	cupsaucer	aversive
926.209	2	1	voice	dolphin	neutral
394.209	2	1	voice	dragonfly	aversive
939.208	2	1	voice	durian	aversive
69.212	2	1	voice	fan	aversive
95.177	2	1	voice	flashlight	aversive
298.248	2	1	voice	fork	aversive
2.634	2	1	voice	gecko	neutral
313.197	2	1	voice	glasses	neutral
548.232	2	1	voice	glove	aversive
198.238	2	1	voice	grape	aversive
370.21	2	1	voice	guitar	neutral
433.223	2	1	voice	hairbrush	aversive
599.212	2	1	voice	hairdryer	neutral
812.199	2	1	voice	handmirror	neutral
560.215	2	1	voice	hat	neutral
955.223	2	1	voice	headband	aversive
996.221	2	1	voice	hourglass	neutral
980.205	2	1	voice	icecreamcones	aversive
738.237	2	1	voice	kettle	neutral
254.201	2	1	voice	kiwifruit	aversive
520.234	2	1	voice	lamp	neutral
886.211	2	1	voice	lemon	aversive
669.208	2	1	voice	lightbulb	aversive
766.219	2	1	voice	lock	aversive
223.203	2	1	voice	loster	aversive
464.221	2	1	voice	motorcycle	neutral
912.209	2	1	voice	nailpolish	aversive
408.241	2	1	voice	necktie	neutral
211.27	2	1	voice	orifan	neutral
626.127	2	1	voice	paintbrush	neutral
797.217	2	1	voice	pen	aversive
782.218	2	1	voice	pipe	neutral
614.211	2	1	voice	printer	aversive
81.212	2	1	voice	rollingpin	neutral
827.215	2	1	voice	rubberduck	aversive
139.208	2	1	voice	scale	aversive
507.201	2	1	voice	shirt	aversive
711.222	2	1	voice	shoe	aversive
534.2	2	1	voice	sofa	aversive
698.223	2	1	voice	stapler	neutral
357.211	2	1	voice	starfish	aversive
270.216	2	1	voice	strawberry	neutral
238.352	2	1	voice	tent	neutral
754.203	2	1	voice	tire	neutral
899.21	2	1	voice	washer	neutral
420.19	2	1	voice	watergun	neutral
154.224	2	1	voice	watermelon	aversive
122.009	2	1	face	abacus	neutral
870.012	2	1	face	babyplayard	aversive
489.003	2	1	face	banana	neutral
474.004	2	1	face	bed	aversive
446.005	2	1	face	bench	neutral
109.01	2	1	face	bike	neutral
182.005	2	1	face	binoculars	aversive
584.013	2	1	face	boppypillow	aversive
325.013	2	1	face	bowl	aversive
723.005	2	1	face	bowlingpin	aversive
11.999	2	1	face	bowtie	neutral
380.009	2	1	face	bucket	aversive
341.012	2	1	face	butterfly	neutral
26.998	2	1	face	button	aversive
281.999	2	1	face	ceilingfan	neutral
654.009	2	1	face	cherry	aversive
856.013	2	1	face	clownfish	neutral
683.007	2	1	face	coconut	neutral
571.997	2	1	face	compass	aversive
840.997	2	1	face	computermouse	neutral
965.006	2	1	face	cookingpan	neutral
54.997	2	1	face	cookpot	neutral
167.006	2	1	face	crab	neutral
640.01	2	1	face	crown	neutral
42.997	2	1	face	cupsaucer	aversive
924.009	2	1	face	dolphin	neutral
392.009	2	1	face	dragonfly	aversive
937.008	2	1	face	durian	aversive
67.012	2	1	face	fan	aversive
93.011	2	1	face	flashlight	aversive
295.998	2	1	face	fork	aversive
0	2	1	face	gecko	neutral
310.997	2	1	face	glasses	neutral
545.999	2	1	face	glove	aversive
196.004	2	1	face	grape	aversive
368.01	2	1	face	guitar	neutral
431.006	2	1	face	hairbrush	aversive
597.012	2	1	face	hairdryer	neutral
809.999	2	1	face	handmirror	neutral
557.998	2	1	face	hat	neutral
953.007	2	1	face	headband	aversive
994.004	2	1	face	hourglass	neutral
978.005	2	1	face	icecreamcones	aversive
736.004	2	1	face	kettle	neutral
252.001	2	1	face	kiwifruit	aversive
518.001	2	1	face	lamp	neutral
884.011	2	1	face	lemon	aversive
667.008	2	1	face	lightbulb	aversive
764.002	2	1	face	lock	aversive
221.003	2	1	face	loster	aversive
462.004	2	1	face	motorcycle	neutral
910.01	2	1	face	nailpolish	aversive
406.008	2	1	face	necktie	neutral
209.004	2	1	face	orifan	neutral
623.994	2	1	face	paintbrush	neutral
795	2	1	face	pen	aversive
780.001	2	1	face	pipe	neutral
612.012	2	1	face	printer	aversive
79.012	2	1	face	rollingpin	neutral
824.998	2	1	face	rubberduck	aversive
137.008	2	1	face	scale	aversive
505.002	2	1	face	shirt	aversive
709.005	2	1	face	shoe	aversive
532	2	1	face	sofa	aversive
696.006	2	1	face	stapler	neutral
355.011	2	1	face	starfish	aversive
268	2	1	face	strawberry	neutral
236.002	2	1	face	tent	neutral
752.003	2	1	face	tire	neutral
897.01	2	1	face	washer	neutral
418.007	2	1	face	watergun	neutral
152.007	2	1	face	watermelon	aversive
